Model,Year,Category,Rating,Displacement,Engine type,Engine details,Power,Bore x stroke,Valves per cylinder,Fuel system,Fuel control,Cooling system,Gearbox,Transmission type,Clutch,Frame type,Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Front brakes,Diameter,Rear brakes,Dry weight,"Weight incl. oil, gas, etc",Power/weight ratio,Seat height,Ground clearance,Wheelbase,Fuel capacity,Color options,Starter,Comments,Compression,Ignition,Fuel consumption,Greenhouse gases,Emission details,Rake (fork angle),Trail,Front tire,Rear tire,Wheels,Reserve fuel capacity,Torque,Lubrication system,Driveline,Overall height,Overall length,Overall width,Factory warranty,Carrying capacity,Top speed,Instruments,Light,Electrical,Seat,Exhaust system,Oil capacity,Alternate seat height,Max RPM,Modifications compared to previous model,0-100 km/h (0-62 mph),Engine oil,Oil filter,Brake fluid,Coolant,Battery,Spark plugs,Idle speed,Chain size,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size,Pulley teeth,1/4 mile (0.4 km),Belt teeth,Belt width
KTM 450 SX-F Factory Edition,2017,Cross / motocross,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,449.3 ccm (27.42 cubic inches),"Single cylinder, four-stroke",,,95.0 x 63.4 mm (3.7 x 2.5 inches),,Injection,Single Overhead Cams (SOHC),Liquid,4-speed,Chain   (final drive),"Wet, DDS multi-disc clutch, Brembo hydraulics",25CrMo4 steel central-tube frame,"WP-USD, AER 48, Ø 48 mm",300 mm (11.8 inches),WP shock absorber with linkage,300 mm (11.8 inches),Single disc. Brake calipers on floating bearings,220 mm (8.7 inches),Single disc. Brake calipers on floating bearings,100.4 kg (221.3 pounds),,,"960 mm (37.8 inches) If adjustable, lowest setting.",370 mm (14.6 inches),1485 mm (58.5 inches),7.00 litres (1.85 US gallons),Orange/white/black,Electric,,,Keihin EMS,,,,26.5°,,,,CNC machined hubs. Excel rims. Wire spoked.,,,,,,,,,,,,,Lightweight 495 g lithium-ion starter battery,,,,,,,,,,,,,,,,,,,,,,,,
Lexmoto Diablo 125 EFI,2017,Scooter," 3.1  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",,8.9 HP (6.5  kW)) @ 8000 RPM,56.5 x 49.5 mm (2.2 x 1.9 inches),,Injection. EFI,,Air,Automatic,Belt   (final drive),,,Telescopic fork,,Single shock absorber,,Single disc. Hydraulic,,Single disc. Hydraulic,106.0 kg (233.7 pounds),,0.0835 HP/kg,"810 mm (31.9 inches) If adjustable, lowest setting.",,1315 mm (51.8 inches),6.00 litres (1.59 US gallons),"Red/white, black/white",Electric & kick,Chinese brand.,9.0:1,CDI,,,Euro 3,,,120/60-13 ,130/60-13 ,,,,,Twist and go,1150 mm (45.3 inches),1840 mm (72.4 inches),680 mm (26.8 inches),,,90.0 km/h (55.9 mph),Semi-Digital,LED headlight,,,,,,,,,,,,,,,,,,,,,,,,,
KSR Race 50 GT 4T,2017,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,49.0 ccm (2.99 cubic inches),"Single cylinder, four-stroke",,3.6 HP (2.6  kW)) @ 8500 RPM,,,Carburettor,,Air,Automatic,Belt   (final drive),,Steel,Telescopic fork,,Monoshock,,Single disc,,Expanding brake (drum brake),,,,,,1280 mm (50.4 inches),5.00 litres (1.32 US gallons),"Yellow, Red, Green",Electric & kick,,,,,,,,,,,,,,,CVT,1140 mm (44.9 inches),1820 mm (71.7 inches),695 mm (27.4 inches),,,,,,,Dual seat,,,,,,,,,,,,,,,,,,,,,,,
Ducati SuperSport S,2017,Sport," 3.5  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",937.0 ccm (57.18 cubic inches),"V2, four-stroke",Testastretta 11° L-Twin,113.0 HP (82.5  kW)) @ 9000 RPM,94.0 x 67.5 mm (3.7 x 2.7 inches),4,"Injection. Electronic fuel injection system, 53 mm throttle bodies with full Ride-by-Wire",Desmodromic valve control,Liquid,6-speed,Chain   (final drive),"Wet multiplate clutch mechanically operated, self-servo action on drive, slipper action on over-run",Tubular steel Trellis frame attached to the chylinders head,Fully adjustable 43 mm usd Marzocchi fork,130 mm (5.1 inches),Progressive linkage with adjustable Sachs monoshock. Aluminium single-sided swingarm,130 mm (5.1 inches),Double disc. ABS. Floating discs. Four-piston calipers. Radially mounted. ,245 mm (9.6 inches),Single disc. ABS. Two-piston calipers. ,183.0 kg (403.4 pounds),210.0 kg (463.0 pounds),0.6175 HP/kg,"810 mm (31.9 inches) If adjustable, lowest setting.",,1478 mm (58.2 inches),16.00 litres (4.23 US gallons),White,Electric,,12.6:1,,5.90 litres/100 km (16.9 km/l or 39.87 mpg),136.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,Euro 4,24.0°,91 mm (3.6 inches),120/70-17 ,180/55-17 ,Pirelli Diablo Rosso III tyres,,96.7 Nm (9.9 kgf-m or 71.3 ft.lbs) @ 6500 RPM,,,1320 mm (52.0 inches),2095 mm (82.5 inches),860 mm (33.9 inches),,,,LCD display,,,,Lightweight 2-1-2 system with catalytic converter and two lambda probes. Twin aluminium mufflers,,,,,,,,,,,,,,,,,,,,,,
Husqvarna TC 50,2017,Cross / motocross," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",,,39.5 x 40.0 mm (1.6 x 1.6 inches),,Injection,,Liquid,Automatic,Chain   (final drive),Centrifugal clutch (adjustable),Central-tube frame with double-cradle,"WP-USD, AER 35,  35 mm",205 mm (8.1 inches),WP shock absorber,185 mm (7.3 inches),Single disc,160 mm (6.3 inches),Single disc,41.5 kg (91.5 pounds),,,"684 mm (26.9 inches) If adjustable, lowest setting.",252 mm (9.9 inches),1032 mm (40.6 inches),2.30 litres (0.61 US gallons),White/blue/yellow,Kick,,,Seletra 2p D36,,,,,,,,,,,Mixture oil lubrication,Single-speed automatic. Primary drive: 61.,,,,2 Years,,,,,,,,0.90 litres (0.95 US quarts),,,,,,,,,,,,,,,,,,,,,
Bultaco Brinco RE,2017,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,,Electric,Brushless AC on rear wheel,2.7 HP (2.0  kW)),,,,,Air,,Chain   (final drive),,Aluminum,Adjustable Inverted Fork,180 mm (7.1 inches),Adjustable monoshock,217 mm (8.5 inches),Single disc. Four piston calliper,203 mm (8.0 inches),Single disc. Two piston calliper,42.3 kg (93.2 pounds),,0.0634 HP/kg,,,1200 mm (47.2 inches),,Red,Electric,"Li-Ion battery, 1.3kWh. Range up to 100 km. Charging 3 hours.",,,,,,,,3.00-24 ,3.00-24 ,,,,,,,1856 mm (73.1 inches),760 mm (29.9 inches),Two years,,45.0 km/h (28.0 mph),,LED lights,,Bicycle type,,,,,,,,,,,,,,,,,,,,,,,
Honda Stateline ABS,2017,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1312.0 ccm (80.06 cubic inches),"V2, four-stroke",52 degrees V-twin,,89.5 x 104.3 mm (3.5 x 4.1 inches),3,"Injection. PGM-FI with automatic enrichment circuit, one 38mm throttle body",Single Overhead Cams (SOHC),Liquid,5-speed,Shaft drive (cardan)   (final drive),,,41mm fork,102 mm (4.0 inches),Single shock,99 mm (3.9 inches),Double disc. Two-piston calipers. ABS.,296 mm (11.7 inches),Single disc. Single-piston caliper. ABS.,,310.0 kg (683.4 pounds),,"678 mm (26.7 inches) If adjustable, lowest setting.",,1781 mm (70.1 inches),16.65 litres (4.40 US gallons),Blue Metallic,Electric,Model id: VT1300CRA.,9.2:1,"Digital with 3-D mapping, two spark plugs per cylinder",5.11 litres/100 km (19.6 km/l or 46.03 mpg),118.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,,33.0°,118 mm (4.6 inches),140/80-17 ,170/80-15 ,Five-spoke cast wheels,,,,,,,,One year. Unlimited milage. Transferable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orcal Astor 125,2017,Classic,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",Yamaha engine,9.5 HP (6.9  kW)) @ 8000 RPM,54.0 x 54.0 mm (2.1 x 2.1 inches),2,Carburettor,,Air,5-speed,Chain   (final drive),,,Telescopic fork,,Twin shocks,,Single disc,220 mm (8.7 inches),Single disc,160.0 kg (352.7 pounds),,0.0595 HP/kg,,,,16.00 litres (4.23 US gallons),"Red, white",Electric & kick,French brand.,10.0:1,,,,Euro 3. Catalyzed.,,,110/70-17 ,130/70-17 ,,,9.5 Nm (1.0 kgf-m or 7.0 ft.lbs) @ 6500 RPM,Wet sump,,1100 mm (43.3 inches),2040 mm (80.3 inches),800 mm (31.5 inches),2 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daelim RoadSport 125,2017,Sport," 3.3  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",124.1 ccm (7.57 cubic inches),"Single cylinder, four-stroke",,14.8 HP (10.8  kW)) @ 10800 RPM,56.0 x 50.7 mm (2.2 x 2.0 inches),4,Injection. EFI,Double Overhead Cams/Twin Cam (DOHC),Liquid,5-speed,Chain   (final drive),,Steel,Telescopic fork,,Swing Arm,,Single disc,,Single disc,145.0 kg (319.7 pounds),,0.1021 HP/kg,"780 mm (30.7 inches) If adjustable, lowest setting.",,1380 mm (54.3 inches),15.00 litres (3.96 US gallons),"White, black, red",Electric,,11.8:1,,,,Euro III,,,110/70-17 ,140/60-17 ,,,,,,1180 mm (46.5 inches),2015 mm (79.3 inches),778 mm (30.6 inches),2 year warranty unlimited mileage,,,Digital speedometer with analogue tachometer,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda Click 125i,2017,Scooter," 3.7  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",124.8 ccm (7.62 cubic inches),"Single cylinder, four-stroke",,11.4 HP (8.3  kW)) @ 8500 RPM,52.4 x 57.9 mm (2.1 x 2.3 inches),,Injection. PGM-FI,Single Overhead Cams (SOHC),Liquid,Automatic,Belt   (final drive),,,Telescopic fork,,Unit Swing ,,Single disc,,Expanding brake (drum brake),106.0 kg (233.7 pounds),,0.1075 HP/kg,"765 mm (30.1 inches) If adjustable, lowest setting.",135 mm (5.3 inches),1280 mm (50.4 inches),5.50 litres (1.45 US gallons),"Black, white, red",Electric,Sold in Asia. ,,"Magnetic security ignition key with seat release button, developed for your safety and convenience",1.70 litres/100 km (58.8 km/l or 138.37 mpg),39.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,80/90-14 ,80/90-14 ,Cast Wheel,,11.2 Nm (1.1 kgf-m or 8.2 ft.lbs) @ 6500 RPM,,,1096 mm (43.1 inches),1921 mm (75.6 inches),683 mm (26.9 inches),,,,LCD,LED Headlight,,,,,,,,,,,,,,,,,,,,,,,,,
Keeway TXM 125,2017,Super motard,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,124.5 ccm (7.60 cubic inches),"Single cylinder, four-stroke",,11.0 HP (8.0  kW)) @ 9000 RPM,57.0 x 48.8 mm (2.2 x 1.9 inches),2,Carburettor,Single Overhead Cams (SOHC),Air,5-speed,Chain   (final drive),"Wet, multiple-plate",,Telescopic forks,180 mm (7.1 inches),Swing arm,46 mm (1.8 inches),Single disc,240 mm (9.4 inches),Single disc,135.0 kg (297.6 pounds),,0.0815 HP/kg,"825 mm (32.5 inches) If adjustable, lowest setting.",225 mm (8.9 inches),1340 mm (52.8 inches),10.50 litres (2.77 US gallons),Gray/white/red,Electric,"Keeway is the American and European brand name of Qianjiang, China.",7.0:1,CDI,,,,,,110/80-17 ,130/80-17 ,,,9.4 Nm (1.0 kgf-m or 6.9 ft.lbs) @ 7500 RPM,,,1140 mm (44.9 inches),2090 mm (82.3 inches),830 mm (32.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRS One 250,2017,Trial,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,247.7 ccm (15.11 cubic inches),"Single cylinder, two-stroke",,,72.5 x 60.0 mm (2.9 x 2.4 inches),,Carburettor. Dell´Orto PHBL26,,Liquid,5-speed,Chain   (final drive),3-disc system,Twin-spar aluminum,TECH with aluminium bar Ø 39,175 mm (6.9 inches),Adjustable monoshock,168 mm (6.6 inches),Single disc,150 mm (5.9 inches),Single disc,65.0 kg (143.3 pounds),,,,,,2.30 litres (0.61 US gallons),Yellow/white/black,Kick,Spanish brand.,,HIDRIA double spark ignition CDI,,,,,,2.75-21 ,4.00-18 ,Morad aluminium,,,1.5% oil mixture,,640 mm (25.2 inches),,,,,,,,,,,0.40 litres (0.42 US quarts),,,,,,,,,,,,,,,,,,,,,
Honda FourTrax Rancher,2017,ATV,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,420.0 ccm (25.63 cubic inches),"Single cylinder, four-stroke",,56.3 HP (41.1  kW)),86.5 x 71.5 mm (3.4 x 2.8 inches),,Injection. Keihin 34mm throttle-body fuel-injection system,Overhead Valves (OHV),Liquid,5-speed,Shaft drive (cardan)   (final drive),Automatic,,Independent double-wishbone,160 mm (6.3 inches),Swingarm with single shock,160 mm (6.3 inches),Double disc,,Expanding brake (drum brake),,248.1 kg (547.0 pounds),,"823 mm (32.4 inches) If adjustable, lowest setting.",165 mm (6.5 inches),1250 mm (49.2 inches),13.25 litres (3.50 US gallons),"Red, Olive",Electric,Model ID: TRX420TM1,9.5:1,Full-transistorized type with electronic advance,,,Meets current California Air Resources Board (CARB) and EPA off-road emissions standards.,,,24/8-12 ,24/10-11 ,,3.79 litres (1.00 US gallons),,Wet sump,Direct rear driveshaft,1146 mm (45.1 inches),2055 mm (80.9 inches),1171 mm (46.1 inches),One year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuberg Cross,2017,"Minibike, cross",Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,,Electric,,4.0 HP (2.9  kW)),,,,,Air,Automatic,Chain   (final drive),,"Steel double cradle tube frame, powder-coated",Spinner Grind,,Spring,,Single disc,160 mm (6.3 inches),Single disc,35.0 kg (77.2 pounds),,0.1149 HP/kg,"630 mm (24.8 inches) If adjustable, lowest setting.",,,,White/red,Electric,Intended for children. ,,,,,,,,2.40-16 ,2.40-16 ,,,,,,,950 mm (37.4 inches),,,,27.0 km/h (16.8 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,
