Model,Year,Category,Rating,Displacement,Engine type,Power,Bore x stroke,Fuel system,Fuel control,Ignition,Lubrication system,Cooling system,Gearbox,Transmission type,Clutch,Driveline,Frame type,Rake (fork angle),Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Front brakes,Diameter,Rear brakes,Dry weight,Power/weight ratio,Seat height,Ground clearance,Wheelbase,Fuel capacity,Color options,Starter,Comments,Torque,Compression,Valves per cylinder,Trail,Front tire,Rear tire,"Weight incl. oil, gas, etc",Overall length,Overall width,Factory warranty,Engine details,Fuel consumption,Greenhouse gases,Exhaust system,Wheels,Seat,Overall height,Oil capacity,Instruments,Reserve fuel capacity,Electrical,Light,Carrying capacity,Emission details,Top speed,Alternate seat height,Modifications compared to previous model,Max RPM,Engine oil,Brake fluid,Spark plugs,Idle speed,Chain size,Chain links,Sprockets,Tire pressure front,Tire pressure rear,0-100 km/h (0-62 mph),1/4 mile (0.4 km),Oil filter,Battery,Belt teeth,Belt width,Pulley teeth,Fork tube size,Coolant
KTM 125 Duke,2015,Naked bike," 3.7  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",15.0 HP (10.9  kW)),58.0 x 47.2 mm (2.3 x 1.9 inches),Carburettor,,"Contactless, controlled, fully electronic ignition system with digital ignition timing adjustment, type Kokusan",Forced oil lubrication with 2 Eaton pumps,Liquid,6-speed,Chain   (final drive),Wet multi-disc clutch / hydraulically operated,5/8  x  1/4  (520) O Ring. Primary drive: 22:72.,"Tubular space frame made from steel tubes, powder-coated",25.0°,WP Suspension Up Side Down,150 mm (5.9 inches),WP Suspension Monoshock,150 mm (5.9 inches),Single disc. ABS. Four-pot brake caliper,230 mm (9.1 inches),"Single disc. ABS. One-pot brake caliper, floating brake",127.0 kg (280.0 pounds),0.1181 HP/kg,"800 mm (31.5 inches) If adjustable, lowest setting.",170 mm (6.7 inches),1361 mm (53.6 inches),11.00 litres (2.91 US gallons),"White, Orange",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki Recursion,2015,Prototype / concept model,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,588.0 ccm (35.88 cubic inches),"Twin, four-stroke",100.0 HP (73.0  kW)) @ 8400 RPM,,Turbo,,,,,,Chain   (final drive),,,,,,,,,Single disc,,Single disc,,,,,,,,Electric,,100.3 Nm (10.2 kgf-m or 74.0 ft.lbs) @ 4500 RPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlas Honda Deluxe 125,2015,Allround," 3.4  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",124.1 ccm (7.57 cubic inches),"Single cylinder, four-stroke",,56.5 x 49.5 mm (2.2 x 1.9 inches),Carburettor,Overhead Valves (OHV),CDI,,Air,5-speed,Chain   (final drive),,Roller chain final drive,Diamond Type Steel,,Telescopic Forke 103 mm Travel,,Swing Arm 68 mm Travel,,Expanding brake (drum brake). Non-asbestos,130 mm (5.1 inches),Expanding brake (drum brake). Non-asbestos,112.0 kg (246.9 pounds),,"743 mm (29.3 inches) If adjustable, lowest setting.",137 mm (5.4 inches),1278 mm (50.3 inches),12.00 litres (3.17 US gallons),"Red, black",Kick,Sold in Pakistan.,,,,,2.75-18 ,90/90-18 ,,1911 mm (75.2 inches),731 mm (28.8 inches),,,,,,,,1017 mm (40.0 inches),,Analogue,,12 Volt battery,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Softail Fat Boy,2015,Custom / cruiser," 3.3  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1690.0 ccm (103.12 cubic inches),"V2, four-stroke",77.8 HP (56.8  kW)) @ 5250 RPM,98.4 x 111.3 mm (3.9 x 4.4 inches),Injection. Electronic Sequential Port Fuel Injection,,,,Air,6-speed,Belt   (final drive),Multi-plate with diaphragm spring in oil bath,"Primary chain, 34/46 ratio",,31.0°,,,,,Double disc. ABS. 4-piston. ,,Single disc. 2-piston.,313.0 kg (690.0 pounds),0.2485 HP/kg,"635 mm (25.0 inches) If adjustable, lowest setting.",130 mm (5.1 inches),1638 mm (64.5 inches),18.93 litres (5.00 US gallons),"Black Magic, Mysterious Red Sunglo, Amber Whiskey/Vivid Black, Superior Blue, Brilliant Silver Pearl, Vivid Black 

/Blackened Cayenne Sunglo,  Brilliant Silver Pearl, Vivid Black",Electric,,132.0 Nm (13.5 kgf-m or 97.4 ft.lbs) @ 3250 RPM,10.0:1,,147 mm (5.8 inches),140/75-R17 ,200/55-R17 ,330.2 kg (728.0 pounds),2395 mm (94.3 inches),,,"Air-cooled, Twin Cam 103B™",5.60 litres/100 km (17.9 km/l or 42.00 mpg),129.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,"Chrome, over/under shotgun exhaust with dual mufflers",Mirror Chrome Aluminum Bullet Hole Disc,,,3.30 litres (3.49 US quarts),"Tank-mounted electronic speedometer with odometer, time-of-day clock on odometer, dual tripmeter, RPM/gear display, fuel gauge with low fuel warning light and countdown feature, low oil pressure indicator light, engine diagnostics readout, LED indicator lights, 6-speed indicator light",,,"High beam, neutral, low oil pressure, turn signals, engine diagnostics, security system (optional), 6-speed, low fuel warnings",,,,,,,,,,,,,,,,,,,,,,,,
Honda CB1100,2015,Classic," 3.8  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",1140.0 ccm (69.56 cubic inches),"In-line four, four-stroke",,73.5 x 67.2 mm (2.9 x 2.6 inches),"Injection. PGM-FI with automatic enrichment circuit, 32mm throttle bodies",Double Overhead Cams/Twin Cam (DOHC),Digital transistorized with electronic advance,,Oil & air,6-speed,Chain   (final drive),,#530 O-ring-sealed chain,,27.0°,41mm fork with spring preload adjustability,107 mm (4.2 inches),Dual shocks with spring preload adjustability,114 mm (4.5 inches),Double disc. Floating discs. Four-piston calipers. ,256 mm (10.1 inches),Single disc. Single-piston caliper. ,,,"792 mm (31.2 inches) If adjustable, lowest setting.",,1491 mm (58.7 inches),14.76 litres (3.90 US gallons),Black,Electric,Model ID: CB1100,,9.5:1,4,114 mm (4.5 inches),110/80-18 ,140/70-18 ,244.9 kg (540.0 pounds),,,One year. Unlimited milage. Transferable.,,,,,,,,,,,,,,Meets current EPA standards. California version meets current CARB standards and may differ slightly due to emissions equipment.,,,,,,,,,,,,,,,,,,,,,,
CR&S DUU,2015,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1916.0 ccm (116.91 cubic inches),"V2, four-stroke",95.2 HP (69.5  kW)) @ 5100 RPM,104.8 x 111.1 mm (4.1 x 4.4 inches),Injection,,Electronic,EFI,Air,5-speed,Chain   (final drive),"Wet multidisks, with hydraulic control",Wet twin chain primary. O-ring chain final.,"Stainless steel main structure made with big section tubes, stainless steel engine’s cradle and holder. ",,Upsidedown telescopic fork with 48 mm diameter. Adjustable hydraulic damping and spring preload. ,120 mm (4.7 inches),Swingarm with single hydraulic progressive shock absorber. Adjustable hydraulic damping and spring preload.,127 mm (5.0 inches),Double disc. Wave double floating disks with radial 4 pistons brake calipers.,260 mm (10.2 inches),Single disc. 2 pistons floating caliper.,245.0 kg (540.1 pounds),0.3886 HP/kg,"800 mm (31.5 inches) If adjustable, lowest setting.",,1576 mm (62.0 inches),15.50 litres (4.10 US gallons),"Matt gunmetal, silver",Electric,CR and S is an abbreviation of Cafe Racers  and  Superbikes. Italian made bikes. Baker gearbox available with 5 or 6 speeds. A solo seat or two seat version is available.,148.0 Nm (15.1 kgf-m or 109.2 ft.lbs) @ 4300 RPM,,2,,120/70-ZR17 ,190/55-ZR17 ,264.0 kg (582.0 pounds),2197 mm (86.5 inches),770 mm (30.3 inches),24 months unlimited milage. For life against chassis corrosion.,"S and S X-Wedge, 56 degree V-Twin engine.",,,,,Two seat or singele seat.,,,,4.00 litres (1.06 US gallons),,,,,200.0 km/h (124.3 mph),,,,,,,,,,,,,,,,,,,,,
Victory Cross Country Tour,2015,Touring," 4.2  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1737.1 ccm (106.00 cubic inches),"V2, four-stroke",,101.0 x 108.0 mm (4.0 x 4.3 inches),Injection. Electronic Fuel Injection with dual 45mm throttle body,Single Overhead Cams (SOHC),,,Oil & air,6-speed,Belt   (final drive),"Wet, multi-plate",Carbon Fiber Reinforced Belt. Primary drive: Gear drive with  torque compensator.,,29.0°,"Inverted cartridge telescopic fork, 43 mm diameter, 5.1 in / 130 mm travel",,"Single, mono-tube gas, cast aluminum with constant rate linkage, 4.7 in / 120 mm travel, air adjustable",,Double disc. Floating rotor with 4-piston calipers. ABS.,300 mm (11.8 inches),Single disc. Floating rotor with 2-piston caliper. ABS.,384.0 kg (846.6 pounds),,"667 mm (26.3 inches) If adjustable, lowest setting.",148 mm (5.8 inches),1669 mm (65.7 inches),21.95 litres (5.80 US gallons),"Gloss Black, Two-Tone Havasu Red Pearl and Black, Two-Tone White Pearl and Gray",Electric,Windscreen,143.7 Nm (14.7 kgf-m or 106.0 ft.lbs),9.4:1,4,142 mm (5.6 inches),130/70-R18 ,180/60-R16 ,,2747 mm (108.1 inches),,,"50° V-Twin. Self-adjusting cam chains, hydraulic lifters.",,,Split dual exhaust with crossover,Dunlop Elite 3  tires,,,4.70 litres (4.97 US quarts),,,12 volts / 18 amp hours battery.,,Trunc and saddle bags space,,,,,,,,,,,,,,,,,,,,,,,
Horex VR6 Classic,2015,Classic,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1218.0 ccm (74.32 cubic inches),"V6, four-stroke",126.0 HP (92.0  kW)) @ 8500 RPM,68.0 x 55.0 mm (2.7 x 2.2 inches),Turbo,,,,Liquid,6-speed,Chain   (final drive),"Multi-disc oil bath clutch, operated hydraulically. 1:2.47 ratio.",Chain with permanent solid lubrication,Aluminum bridge frame with steel steering head,24.0°,"USD fork, fixed tube Ø 48 mm. WP Suspension, adjustable preload, inbound and outbound damping.",120 mm (4.7 inches),"Swingarm with central spring strut. Sachs, adjustable preload, outbound damping",120 mm (4.7 inches),Double disc. Bosch ABS. Radial 4-piston calipers.,264 mm (10.4 inches),Single disc. Bosch ABS. 2-piston caliper,249.0 kg (549.0 pounds),0.5060 HP/kg,"800 mm (31.5 inches) If adjustable, lowest setting.",,1475 mm (58.1 inches),17.00 litres (4.49 US gallons),Red,Electric,German brand. ,120.0 Nm (12.2 kgf-m or 88.5 ft.lbs) @ 7000 RPM,12.5:1,3,95 mm (3.7 inches),120/70-ZR17 ,190/55-ZR17 ,265.0 kg (584.2 pounds),,,,VR6 with only 15 degree V-angle mirrored cylinder offset. Triple overhead cam.,,,,Alloy spoke wheels,,,,,4.00 litres (1.06 US gallons),,,,,250.0 km/h (155.3 mph),"840 mm (33.1 inches) If adjustable, highest setting.",,,,,,,,,,,,,,,,,,,,
Yuki 125 Manxman,2015,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",,,Carburettor,,CDI,,Air,5-speed,Chain   (final drive),,,,,,,,,Single disc,,Expanding brake (drum brake),115.0 kg (253.5 pounds),,,,,,Orange,Electric,Yuki scooters are sold in The Czech Republic and The Slovak Republic. ,,,,,90/90-18 ,120/80-16 ,,2190 mm (86.2 inches),,,,3.00 litres/100 km (33.3 km/l or 78.41 mpg),69.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,,Wire spoked,Dual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Ninja 400 Special Edition,2015,Sport," 3.2  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",399.0 ccm (24.35 cubic inches),"Twin, four-stroke",44.0 HP (32.1  kW)) @ 9500 RPM,,Injection. Digital,Double Overhead Cams/Twin Cam (DOHC),,Semi-dry sump,Liquid,6-speed,Chain   (final drive),,O-Ring Chain,"Diamond, high-tensile steel",25.0°,41mm hydraulic telescopic fork,120 mm (4.7 inches),Single offset laydown shock with adjustable spring preload,130 mm (5.1 inches),Double disc. Optional ABS. Triple petal disk.,220 mm (8.7 inches),Single disc. Optional ABS,,,"790 mm (31.1 inches) If adjustable, lowest setting.",,1410 mm (55.5 inches),15.50 litres (4.10 US gallons),Candy Lime Green/Metallic Spark Black,Electric,Sold in Japan.,37.0 Nm (3.8 kgf-m or 27.3 ft.lbs) @ 7500 RPM,,4,106 mm (4.2 inches),120/70-17 ,160/60-17 ,211.0 kg (465.2 pounds),2101 mm (82.7 inches),759 mm (29.9 inches),12 months,,2.67 litres/100 km (37.5 km/l or 88.10 mpg),61.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,,6-spoke,Dual seat,1199 mm (47.2 inches),,,,,,Optional top box and saddle bags,,,,,,,,,,,,,,,,,,,,,,,
Suzuki DR-Z50,2015,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,49.0 ccm (2.99 cubic inches),"Single cylinder, four-stroke",3.9 HP (2.8  kW)) @ 9500 RPM,39.0 x 41.8 mm (1.5 x 1.6 inches),Carburettor. Mikuni VM13,Overhead Cams (OHC),CDI,Wet sump,Air,3-speed,Chain   (final drive),Automatic centrifugal,Constant mesh bottom neutral three-stage return,"Backbone, steel",25.5°,"Inverted telescopic, coil spring",,"Swingarm type, coil spring, oil damped",,Expanding brake (drum brake),,Expanding brake (drum brake),,,"560 mm (22.0 inches) If adjustable, lowest setting.",135 mm (5.3 inches),935 mm (36.8 inches),3.00 litres (0.79 US gallons),Yellow/black/red,Electric & kick,Intended for children under 40 kg. Sold in Japan.,3.4 Nm (0.3 kgf-m or 2.5 ft.lbs) @ 7000 RPM,9.7:1,,36 mm (1.4 inches),2.50-10 ,2.50-10 ,54.0 kg (119.0 pounds),1320 mm (52.0 inches),580 mm (22.8 inches),,,,,,,,,0.60 litres (0.63 US quarts),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Vulcan  S ABS,2015,Custom / cruiser," 3.9  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",649.0 ccm (39.60 cubic inches),"Twin, four-stroke",,83.0 x 60.0 mm (3.3 x 2.4 inches),"Injection. DFI  with two 38mm throttle bodies, with sub-throttles",Double Overhead Cams/Twin Cam (DOHC),TCBI with digital advance,,Liquid,6-speed,Chain   (final drive),,Sealed chain,High-tensile steel double pipe perimeter frame,31.0°,41mm telescopic fork ,130 mm (5.1 inches),Lay-down offset rear shock with linkage and adjustable preload,81 mm (3.2 inches),Double disc. ABS. Two-piston calipers. ,250 mm (9.8 inches),Single disc. Single-piston caliper. ,,,"706 mm (27.8 inches) If adjustable, lowest setting.",130 mm (5.1 inches),1575 mm (62.0 inches),14.00 litres (3.70 US gallons),"Candy Lime Green, Pearl Crystal White, Flat Ebony",Electric,,,10.8:1,4,119 mm (4.7 inches),120/70-18 ,160/60-17 ,226.0 kg (498.3 pounds),2311 mm (91.0 inches),881 mm (34.7 inches),12 Month Limited Warranty,,,,,,,1100 mm (43.3 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha Neos,2015,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,49.2 ccm (3.00 cubic inches),"Single cylinder, two-stroke",2.8 HP (2.0  kW)) @ 6750 RPM,40.0 x 39.2 mm (1.6 x 1.5 inches),Carburettor. Gurtner PY12,,,,Air,Automatic,Belt   (final drive),,,,,Telescopic fork,70 mm (2.8 inches),Hydraulic unit swing,60 mm (2.4 inches),Single disc,110 mm (4.3 inches),Expanding brake (drum brake),,,"790 mm (31.1 inches) If adjustable, lowest setting.",146 mm (5.7 inches),1275 mm (50.2 inches),6.10 litres (1.61 US gallons),"White, brown, black",Electric & kick,,3.0 Nm (0.3 kgf-m or 2.2 ft.lbs) @ 6500 RPM,10.7:1,,,120/70-12 ,130/70-12 ,88.0 kg (194.0 pounds),1840 mm (72.4 inches),663 mm (26.1 inches),,,,,,Alloy wheels,,,,LCD instrument panel,,,Twin headlights,Underseat helmet locker,,,,,,,,,,,,,,,,,,,,,,,
Keeway RKS 125,2015,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.5 ccm (7.60 cubic inches),"Single cylinder, four-stroke",11.0 HP (8.0  kW)) @ 9000 RPM,57.0 x 48.8 mm (2.2 x 1.9 inches),Carburettor,Overhead Valves (OHV),TLI,Pressure splash,Air,5-speed,Chain   (final drive),"Wet, multiple-plate",,Bassinet type,,Telescopic forks,110 mm (4.3 inches),Telescopic coil spring oil damped,66 mm (2.6 inches),Single disc,130 mm (5.1 inches),Expanding brake (drum brake),117.0 kg (257.9 pounds),0.0940 HP/kg,"760 mm (29.9 inches) If adjustable, lowest setting.",185 mm (7.3 inches),1260 mm (49.6 inches),16.00 litres (4.23 US gallons),Silver,Electric,"Keeway is the American and European brand name of Qianjiang, China.",9.2 Nm (0.9 kgf-m or 6.8 ft.lbs) @ 7500 RPM,10.6:1,2,,90/90-17 ,110/80-17 ,,2040 mm (80.3 inches),780 mm (30.7 inches),,,,,,,,1070 mm (42.1 inches),,Digital/analogue,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda Gold Wing Audio Comfort,2015,Touring,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,1832.0 ccm (111.79 cubic inches),"Six cylinder boxer, four-stroke",,74.0 x 71.0 mm (2.9 x 2.8 inches),Injection. Programmed Fuel Injection,Single Overhead Cams (SOHC),Computer-controlled digital with three-dimensional mapping,,Liquid,5-speed,Shaft drive (cardan)   (final drive),Multi-plate with diaphragm spring in oil bath,,,29.2°,"45mm cartridge fork with anti-dive system, 4.8 inches travel",,Pro Arm® single-side swingarm with Pro-Link® single shock with computer-controlled spring preload adjustment with two memory presets; 4.1 inches travel,,Double disc. Floating discs.  CBS three-piston calipers,316 mm (12.4 inches),Single disc. CBS three-piston calipers.,,,"739 mm (29.1 inches) If adjustable, lowest setting.",,1689 mm (66.5 inches),24.98 litres (6.60 US gallons),"Black, Light Silver Metallic and Candy Red/Black",Electric,Model ID: GL1800. Electric reverse,,9.8:1,2,109 mm (4.3 inches),130/70-R18 ,180/60-R16 ,415.5 kg (916.0 pounds),,,"Transferable, unlimited-mileage limited warranty; extended coverage available with a Honda Protection Plan.",,6.72 litres/100 km (14.9 km/l or 35.00 mpg),155.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,Urethane. Waterproof cover.,,,,,,,"Saddle bags, top box, glovebox",Meets current California Air Resources Board (CARB) and EPA standards.,,,,,,,,,,,,,,,,,,,,,,
Arctic Cat XR 550 XT EPS,2015,ATV,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,545.0 ccm (33.26 cubic inches),"Single cylinder, four-stroke",,92.0 x 82.0 mm (3.6 x 3.2 inches),Injection. EFI,Single Overhead Cams (SOHC),,,Liquid,Automatic,Belt   (final drive),,"2/4 WD + Electric Front Differential Lock. Automatic CVT with EBS, Hi/Lo Range  and  Reverse.",,,Double A-Arm,254 mm (10.0 inches),Double A-Arm,254 mm (10.0 inches),Single disc. Hydraulic. ,,Single disc. Hydraulic. ,352.0 kg (776.0 pounds),,,279 mm (11.0 inches),1473 mm (58.0 inches),20.00 litres (5.28 US gallons),"Dark grey, orange, camo",Electric,Electronic Power Steering (EPS).,,,,,25/8-12 ,25/10-12 ,,2118 mm (83.4 inches),,,,,,,Duro Kaden tires. Aluminium wheels.,,1257 mm (49.5 inches),,Digital,,,Halogen headlamps,Front rack. Rear rack and water resistant compartment.,,,,,,,,,,,,,,,,,,,,,,,
KTM 250 SX,2015,Cross / motocross," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, two-stroke",,66.4 x 72.0 mm (2.6 x 2.8 inches),,,"Contactless, controlled, fully electronic ignition system with digital ignition timing adjustment, type Kokusan",,Liquid,5-speed,Chain   (final drive),Wet multi-disc clutch / hydraulically operated,13:48. Primary drive: 26:72. 520 X-ring chain.,Central tube frame made of chrome molybdenum steel tubing,26.5°,WP  Suspension Up Side Down 4860 MXMA CC,300 mm (11.8 inches),WP  Suspension 5018 BAVP DCC,317 mm (12.5 inches),Single disc. Four-piston calipers. ,220 mm (8.7 inches),Single disc. Two-piston calipers. ,96.3 kg (212.3 pounds),,"992 mm (39.1 inches) If adjustable, lowest setting.",385 mm (15.2 inches),1495 mm (58.9 inches),7.50 litres (1.98 US gallons),Orange/black,Kick,,,,,,,,,,,,Reed intake. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki DR200S,2015,Enduro / offroad," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",198.0 ccm (12.08 cubic inches),"Single cylinder, four-stroke",,66.0 x 58.2 mm (2.6 x 2.3 inches),"Carburettor. MIikuni BST31SS, single",Overhead Cams (OHC),CDI,Wet sump,Air,5-speed,Chain   (final drive),,"DID520V, 112links",,,"Telescopic, coil spring, oil damped",,"Link type, coil spring, oil damped",,Single disc,,Expanding brake (drum brake),,,"810 mm (31.9 inches) If adjustable, lowest setting.",260 mm (10.2 inches),1405 mm (55.3 inches),10.98 litres (2.90 US gallons),"Champion Yellow, Solid Black",Electric,,,9.4:1,,,70/100-21 ,100/90-18 ,126.0 kg (277.8 pounds),2150 mm (84.6 inches),805 mm (31.7 inches),12 month unlimited mileage limited warranty.,,,,Painted stainless-steel exhaust,,,1185 mm (46.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki Inazuma 250,2015,Naked bike," 3.4  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",248.0 ccm (15.13 cubic inches),"Twin, four-stroke",24.1 HP (17.6  kW)) @ 8500 RPM,53.5 x 55.2 mm (2.1 x 2.2 inches),Injection,Single Overhead Cams (SOHC),,,Liquid,6-speed,Chain   (final drive),,,Semi-double cradle,,Inverted KYB forks,,Link-type KYB. Monoshock.,,Double disc,240 mm (9.4 inches),Single disc,,,"780 mm (30.7 inches) If adjustable, lowest setting.",165 mm (6.5 inches),1430 mm (56.3 inches),13.30 litres (3.51 US gallons),"Red, blue",Electric,Sold in Australia.,22.0 Nm (2.2 kgf-m or 16.2 ft.lbs) @ 6500 RPM,11.5:1,2,,110/80-M17 ,140/70-M17 ,183.0 kg (403.4 pounds),2145 mm (84.4 inches),760 mm (29.9 inches),,Balancer shaft,2.74 litres/100 km (36.5 km/l or 85.85 mpg),63.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,1075 mm (42.3 inches),,Analog/digital,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Bear Choppers Sled ProStreet 111  Carb,2015,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1819.1 ccm (111.00 cubic inches),"V2, four-stroke",115.8 HP (84.5  kW)),,Carburettor,,,,Liquid,6-speed,Chain   (final drive),,,Softail,40.0°,BBC Smooth Mount Hidden Axle,,Progressive,76 mm (3.0 inches),Single disc. P.M. 4-piston calipers,,Single disc. BBC P.M. 4-piston caliper BrakeDrive system,316.6 kg (698.0 pounds),0.3658 HP/kg,"508 mm (20.0 inches) If adjustable, lowest setting.",,2184 mm (86.0 inches),15.14 litres (4.00 US gallons),"Gross Black, satin black, charcoal, silver, black cherry, candy red, firecracker red, orange, blue, white.",Electric,6-Speed Right-Side Drive Polished TransMision. Model also called BBC Sled ProStreet 111 SMOOTH™ Carb Evolution. Various wheel options.,166.5 Nm (17.0 kgf-m or 122.8 ft.lbs),,,95 mm (3.8 inches),90/80-21 ,300/80-18 ,,2870 mm (113.0 inches),,,,,,Chrome Radius Tuned Exhaust,Forged Billet Wheel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha Fazer8,2015,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,779.0 ccm (47.53 cubic inches),"In-line four, four-stroke",104.7 HP (76.4  kW)) @ 10000 RPM,68.0 x 53.6 mm (2.7 x 2.1 inches),Injection. Electronic Fuel Injection,Double Overhead Cams/Twin Cam (DOHC),TCI (digital),Wet sump,Liquid,6-speed,Chain   (final drive),"Wet, multiple-disc coil spring",,"Aluminium die-cast, Diamond Shaped",25.0°,"Upside-down telescopic fork,  43  mm inner tube",130 mm (5.1 inches),Linked monoshock with spring preload adjustment,130 mm (5.1 inches),Double disc. Hydraulic. ,267 mm (10.5 inches),Single disc. Hydraulic. ,,,"815 mm (32.1 inches) If adjustable, lowest setting.",140 mm (5.5 inches),1460 mm (57.5 inches),17.00 litres (4.49 US gallons),"Blue, black, white",Electric,Small windscreen.,82.0 Nm (8.4 kgf-m or 60.5 ft.lbs) @ 8400 RPM,12.0:1,,109 mm (4.3 inches),120/70-ZR17 ,180/55-ZR17 ,215.0 kg (474.0 pounds),2140 mm (84.3 inches),770 mm (30.3 inches),,Forward-inclined cylinders,,,,,,1225 mm (48.2 inches),3.80 litres (4.02 US quarts),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kreidler E-Florett 1.0,2015,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,,Electric,4.0 HP (2.9  kW)),,,,,,Air,Automatic,,,,,,Telescopic fork,,Shock absorber (adjustable),,Single disc,180 mm (7.1 inches),Single disc,,,"810 mm (31.9 inches) If adjustable, lowest setting.",,1320 mm (52.0 inches),,White/grey/green,Electric,German brand. Silicone battery 48V 40Ah.,,,,,130/60-13 ,130/60-13 ,145.0 kg (319.7 pounds),1870 mm (73.6 inches),760 mm (29.9 inches),,Wheel hub motor,,,,,,1140 mm (44.9 inches),,,,,,,No direct emissions,45.1 km/h (28.0 mph),,,,,,,,,,,,,,,,,,,,,
Arctic Cat 300,2015,ATV,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,270.0 ccm (16.48 cubic inches),"Single cylinder, four-stroke",,72.7 x 65.2 mm (2.9 x 2.6 inches),,Single Overhead Cams (SOHC),,,Liquid,Automatic,Belt   (final drive),,"2 WD. Automatic CVT with EBS, Hi/Lo Range  and  Reverse",,,Dual A-Arm,127 mm (5.0 inches),Swing Arm,127 mm (5.0 inches),Single disc. Hydraulic. ,,Single disc. Hydraulic. ,216.4 kg (477.0 pounds),,,259 mm (10.2 inches),1179 mm (46.4 inches),12.49 litres (3.30 US gallons),Red,Electric,,,,,,22/7-10 ,22/10-10 ,,1869 mm (73.6 inches),1052 mm (41.4 inches),,,,,,,,1118 mm (44.0 inches),,Digital,,,,Front and rear racks,,,,,,,,,,,,,,,,,,,,,,,
