Model,Year,Category,Rating,Displacement,Engine type,Torque,Compression,Bore x stroke,Fuel system,Cooling system,Gearbox,Rake (fork angle),Trail,Front tire,Rear tire,Front brakes,Diameter,Rear brakes,Dry weight,Seat height,Overall length,Ground clearance,Wheelbase,Fuel capacity,Color options,Comments,Power,Valves per cylinder,Fuel control,Transmission type,Frame type,Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Power/weight ratio,Overall width,Reserve fuel capacity,Top speed,Fuel consumption,Greenhouse gases,Modifications compared to previous model,Overall height,Max RPM,Ignition,Lubrication system,Clutch,Exhaust system,Starter,"Weight incl. oil, gas, etc",Alternate seat height,Oil capacity,Engine oil,Oil filter,Brake fluid,Battery,Spark plugs,Idle speed,Belt teeth,Belt width,Pulley teeth,Fork tube size,0-100 km/h (0-62 mph),Driveline,Electrical,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Coolant,Chain size,Engine details,Wheels
MV Agusta F4 Brutale S,2004,Naked bike," 3.8  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",749.0 ccm (45.70 cubic inches),"In-line four, four-stroke",75.0 Nm (7.6 kgf-m or 55.3 ft.lbs) @ 10500 RPM,12.0:1,73.8 x 43.8 mm (2.9 x 1.7 inches),,,6-speed,,,120/65-ZR17 ,190/50-ZR17 ,Double disc,,Single disc,,"805 mm (31.7 inches) If adjustable, lowest setting.",,,1414 mm (55.7 inches),19.00 litres (5.02 US gallons),,,127.0 HP (92.7  kW)) @ 12600 RPM,4,Double Overhead Cams/Twin Cam (DOHC),Chain   (final drive),,,120 mm (4.7 inches),,118 mm (4.6 inches),,,4.00 litres (1.06 US gallons),,,,,,,,,,,,194.0 kg (427.7 pounds),,,,,,,,,,,,,,,,,,,,,,,
KTM 400 EXC Racing,2004,Enduro / offroad," 3.1  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",398.0 ccm (24.29 cubic inches),"Single cylinder, four-stroke",,11.0:1,89.0 x 64.0 mm (3.5 x 2.5 inches),Carburettor,Liquid,6-speed,,64 mm (2.5 inches),,,Single disc,260 mm (10.2 inches),Single disc,117.2 kg (258.4 pounds),"925 mm (36.4 inches) If adjustable, lowest setting.",,385 mm (15.2 inches),1481 mm (58.3 inches),8.50 litres (2.25 US gallons),,,,,Overhead Cams (OHC),Chain   (final drive),Chromium molybdenum,WP-USD 48 MA,,WP-PDS-shock absorber,,,,,,,,,,,,,,,,,"675 mm (26.6 inches) If adjustable, highest setting.",,,,,,,,,,,,,,,,,,,,,,
BMW R 1200 C Montauk,2004,Custom / cruiser," 3.9  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1170.0 ccm (71.39 cubic inches),"Two cylinder boxer, four-stroke",98.0 Nm (10.0 kgf-m or 72.3 ft.lbs) @ 3000 RPM,10.0:1,101.0 x 73.0 mm (4.0 x 2.9 inches),Injection,Oil & air,5-speed,,,150/80-VR16 ,170/80-VR15 ,Double disc,285 mm (11.2 inches),Single disc,245.0 kg (540.1 pounds),"790 mm (31.1 inches) If adjustable, lowest setting.",2370 mm (93.3 inches),,1641 mm (64.6 inches),17.50 litres (4.62 US gallons),,Special equipment BMW Motorrad Integral ABS (fully integral) ,61.0 HP (44.5  kW)) @ 5000 RPM,4,Single Overhead Cams (SOHC),Shaft drive (cardan)   (final drive),"Three-section composite frame consisting of front and rear section, load bearing engine.","BMW Motorrad Telelever; stanchion diameter 35 mm, central strut",144 mm (5.7 inches),"Die-cast steel single-sided swinging arm with BMW Motorrad Monolever; WAD strut (travel-related damping), spring pre-load adjustable to continuously variable levels by means of hydraulic handwheel",100 mm (3.9 inches),0.2490 HP/kg,1120 mm (44.1 inches),4.00 litres (1.06 US gallons),168.0 km/h (104.4 mph),,,,1340 mm (52.8 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kymco Active 110,2004,Scooter," 3.4  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",107.0 ccm (6.53 cubic inches),"Single cylinder, four-stroke",7.4 Nm (0.7 kgf-m or 5.4 ft.lbs) @ 4500 RPM,,,,Air,4-speed,,,2.50-17 ,2.75-17 ,Single disc,,Expanding brake (drum brake),105.0 kg (231.5 pounds),,1900 mm (74.8 inches),,,,,,6.6 HP (4.8  kW)) @ 7000 RPM,,,,,,,,,0.0630 HP/kg,685 mm (27.0 inches),,,,,,1070 mm (42.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 450 SX Racing,2004,Cross / motocross," 3.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",449.4 ccm (27.42 cubic inches),"Single cylinder, four-stroke",,12.0:1,95.0 x 63.4 mm (3.7 x 2.5 inches),Carburettor,Liquid,4-speed,24.0°,64 mm (2.5 inches),,,Single disc,260 mm (10.2 inches),Single disc,104.9 kg (231.3 pounds),"925 mm (36.4 inches) If adjustable, lowest setting.",,380 mm (15.0 inches),1481 mm (58.3 inches),7.00 litres (1.85 US gallons),Orange,,,,Overhead Cams (OHC),Chain   (final drive),Chromium molybdenum,WP-USD 48/26 MA/PA,,WP-PDS-DA shock absorber,,,450 mm (17.7 inches),,,,,,,,,,,,,,"675 mm (26.6 inches) If adjustable, highest setting.",,,,,,,,,,,,,,,,,,,,,,
Kymco Bet and Win 150,2004,Scooter," 3.3  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",151.0 ccm (9.21 cubic inches),"Single cylinder, four-stroke",,,,Carburettor,,,,,120/70-12 ,130/70-12 ,Single disc,200 mm (7.9 inches),Single disc,138.0 kg (304.2 pounds),,1950 mm (76.8 inches),,1390 mm (54.7 inches),,,,11.9 HP (8.7  kW)),,,,,,,,,0.0864 HP/kg,750 mm (29.5 inches),,,,,,1150 mm (45.3 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cagiva Raptor 1000,2004,Naked bike," 3.5  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",996.0 ccm (60.78 cubic inches),"Twin, four-stroke",90.3 Nm (9.2 kgf-m or 66.6 ft.lbs) @ 7000 RPM,11.3:1,98.0 x 66.0 mm (3.9 x 2.6 inches),Injection,Liquid,6-speed,,,120/70-17 ,180/55-17 ,Double disc,220 mm (8.7 inches),Single disc,210.0 kg (463.0 pounds),"805 mm (31.7 inches) If adjustable, lowest setting.",,175 mm (6.9 inches),,15.20 litres (4.02 US gallons),"Red, black, silver",,105.5 HP (77.0  kW)) @ 8500 RPM,4,Double Overhead Cams/Twin Cam (DOHC),Chain   (final drive),High strength steel tubular frame,Upside Down telescopic hydraulic fork,120 mm (4.7 inches),"Progressive, single shock absorber with adjustable spring preload",138 mm (5.4 inches),0.5024 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki ER-5,2004,Touring," 3.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",498.0 ccm (30.39 cubic inches),"Twin, four-stroke",43.0 Nm (4.4 kgf-m or 31.7 ft.lbs),,,Injection,Liquid,6-speed,,,110/70-H-17 ,130/70-H-17 ,Single disc,,Expanding brake (drum brake),179.0 kg (394.6 pounds),"810 mm (31.9 inches) If adjustable, lowest setting.",,,1430 mm (56.3 inches),17.00 litres (4.49 US gallons),"Black, Red",,49.0 HP (35.8  kW)) @ 9000 RPM,2,Double Overhead Cams/Twin Cam (DOHC),Chain   (final drive),,,,,,0.2737 HP/kg,,,178.0 km/h (110.6 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 950 Adventure,2004,Enduro / offroad," 4.0  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",942.0 ccm (57.48 cubic inches),"V2, four-stroke",95.0 Nm (9.7 kgf-m or 70.1 ft.lbs) @ 6000 RPM,11.5:1,100.0 x 60.0 mm (3.9 x 2.4 inches),Carburettor,Liquid,6-speed,,,90/90-21 ,,Double disc,240 mm (9.4 inches),Single disc,198.0 kg (436.5 pounds),"915 mm (36.0 inches) If adjustable, lowest setting.",,316 mm (12.4 inches),1570 mm (61.8 inches),22.00 litres (5.81 US gallons),,,96.6 HP (70.5  kW)) @ 8000 RPM,,Double Overhead Cams/Twin Cam (DOHC),Chain   (final drive),"Tubular chromoly space frame, power-coated",WP-USD 48 MA,,WP-PDS suspension strut with hydr. spring preload,,0.4876 HP/kg,950 mm (37.4 inches),,,,,,950 mm (37.4 inches),,,,,,,,"675 mm (26.6 inches) If adjustable, highest setting.",,,,,,,,,,,,,,,,,,,,,,
Triumph America,2004,Classic," 4.1  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",790.0 ccm (48.21 cubic inches),"Twin, four-stroke",60.0 Nm (6.1 kgf-m or 44.3 ft.lbs) @ 3500 RPM,9.2:1,86.0 x 68.0 mm (3.4 x 2.7 inches),Carburettor,Air,5-speed,,,110/80-R 18 ,170/80-R 15 ,Single disc,285 mm (11.2 inches),Single disc,226.0 kg (498.2 pounds),"720 mm (28.3 inches) If adjustable, lowest setting.",2424 mm (95.4 inches),,1655 mm (65.2 inches),16.60 litres (4.39 US gallons),,,61.0 HP (44.5  kW)) @ 7400 RPM,,Double Overhead Cams/Twin Cam (DOHC),,,,,,,0.2699 HP/kg,955 mm (37.6 inches),,,,,,1185 mm (46.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FLSTCI Heritage Softail Classic,2004,Custom / cruiser," 3.8  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1449.0 ccm (88.42 cubic inches),"V2, four-stroke",102.0 Nm (10.4 kgf-m or 75.2 ft.lbs) @ 3500 RPM,8.8:1,95.3 x 101.6 mm (3.8 x 4.0 inches),Injection,Air,5-speed,32.0°,147 mm (5.8 inches),90/90-16 ,150/80-16 ,Single disc,292 mm (11.5 inches),Single disc,322.0 kg (709.9 pounds),"648 mm (25.5 inches) If adjustable, lowest setting.",2391 mm (94.1 inches),130 mm (5.1 inches),1630 mm (64.2 inches),18.90 litres (4.99 US gallons),"Vivid black, brilliant silver, sierra red, luxury teal, luxury blue, glacier white pearl, lava red sunglo, two-tone luxury blue and impact blue, two-tone luxury teal and brilliant silver, two-tone sierra red and brilliant silver, two-tone smokey gold and","Black powder-coated engine with chrome covers; detachable king-size windshield; leather saddlebags with quick detach buckles; passenger backrest; touring handlebars; full front fender with chrome accents; chrome hub cover; chrome passing lamps; chrome-plated directional light bar
",,2,Double Overhead Cams/Twin Cam (DOHC),Belt   (final drive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 640 LC4 Enduro,2004,Enduro / offroad," 3.9  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",625.0 ccm (38.14 cubic inches),"Single cylinder, four-stroke",55.0 Nm (5.6 kgf-m or 40.6 ft.lbs) @ 5500 RPM,11.5:1,101.0 x 78.0 mm (4.0 x 3.1 inches),Carburettor,Liquid,5-speed,,,90/90-21 ,,Single disc,220 mm (8.7 inches),Single disc,149.0 kg (328.5 pounds),"925 mm (36.4 inches) If adjustable, lowest setting.",,310 mm (12.2 inches),1510 mm (59.4 inches),12.00 litres (3.17 US gallons),Orange,Not available in the US.,53.6 HP (39.2  kW)) @ 7000 RPM,,Overhead Cams (OHC),Chain   (final drive),"Chromium-molybdenum, power-coated",WP-USD 43 MA,,WP - Monoshock,,0.3600 HP/kg,640 mm (25.2 inches),,,,,,640 mm (25.2 inches),,,,,,,,"675 mm (26.6 inches) If adjustable, highest setting.",,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FXDLI Dyna Low Rider,2004,Custom / cruiser," 3.6  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1449.0 ccm (88.42 cubic inches),"V2, four-stroke",102.0 Nm (10.4 kgf-m or 75.2 ft.lbs) @ 3400 RPM,8.8:1,95.3 x 101.6 mm (3.8 x 4.0 inches),Carburettor,Air,5-speed,32.0°,130 mm (5.1 inches),100/90-19 ,150/80-B16 ,Single disc,292 mm (11.5 inches),Single disc,290.0 kg (639.3 pounds),"640 mm (25.2 inches) If adjustable, lowest setting.",2340 mm (92.1 inches),116 mm (4.6 inches),1595 mm (62.8 inches),17.40 litres (4.60 US gallons),"Vivid black, brilliant silver, sierra red, impact blue, luxury blue, glacier white pearl, lava red sunglo, two-tone luxury blue and impact blue, two-tone sierra red and brilliant silver, two-tone smokey gold and vivid black",640 mm seat height (689 mm unladen); black powder-coated engine with chrome covers; low-profile suspension; low-slung custom seat; raked-out front fork; low-rise handle-bars; mid-mount foot controls; tank-mounted speedometer and tachometer; Electronic Sequential Port Fuel Injection (ESPFI) as alternative to carburetor,,2,Double Overhead Cams/Twin Cam (DOHC),Belt   (final drive),,,,,,,673 mm (26.5 inches),,160.0 km/h (99.4 mph),6.50 litres/100 km (15.4 km/l or 36.19 mpg),150.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi Breva V 750 I.E.,2004,Naked bike," 3.3  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",744.0 ccm (45.40 cubic inches),"V2, four-stroke",74.2 Nm (7.6 kgf-m or 54.7 ft.lbs) @ 3600 RPM,9.6:1,80.0 x 74.0 mm (3.1 x 2.9 inches),Injection,Air,6-speed,28.0°,109 mm (4.3 inches),110/70-17 ,130/80-17 ,Single disc,260 mm (10.2 inches),Single disc,182.0 kg (401.2 pounds),"790 mm (31.1 inches) If adjustable, lowest setting.",2170 mm (85.4 inches),176 mm (6.9 inches),1449 mm (57.0 inches),18.00 litres (4.76 US gallons),"Rosso breva, Grigio grigna, Nero pollare","Breva V 750 IE -- Italian styling and the legendary 90º V-Twin in a lighter, more affordable package. It's the Moto Guzzi you've been waiting for. Available in Red, Black, Silver.
",44.9 HP (32.8  kW)) @ 6800 RPM,2,Overhead Cams (OHC),Shaft drive (cardan)   (final drive),Detachable tubular duplex cradle,Marzocchi 40 mm hydraulic telescopic fork,130 mm (5.1 inches),"Swing arm in light cast alloy with two dampers, spring adjustable for pre-load and rebound",118 mm (4.6 inches),0.2468 HP/kg,720 mm (28.3 inches),5.00 litres (1.32 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daelim Daystar VL 125 L,2004,Custom / cruiser," 3.7  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",124.1 ccm (7.57 cubic inches),"Single cylinder, four-stroke",,11.5:1,56.5 x 49.5 mm (2.2 x 1.9 inches),Carburettor,Air,,,,90/90-18 ,130/90-15 ,Single disc,,Expanding brake (drum brake),160.0 kg (352.7 pounds),"700 mm (27.6 inches) If adjustable, lowest setting.",2240 mm (88.2 inches),130 mm (5.1 inches),1505 mm (59.3 inches),17.30 litres (4.57 US gallons),"Red, Black, Grey, Light grey",,13.2 HP (9.6  kW)),4,,,,Telescopic,,Swing arm,,0.0825 HP/kg,790 mm (31.1 inches),,,,,,1150 mm (45.3 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kymco Movie XL 125,2004,Scooter," 3.0  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",,,,Carburettor,,,,,120/70-12 ,130/70-12 ,Single disc,130 mm (5.1 inches),Expanding brake (drum brake),119.0 kg (262.4 pounds),,1890 mm (74.4 inches),,1269 mm (50.0 inches),,,,9.4 HP (6.8  kW)),,,,,,,,,0.0788 HP/kg,694 mm (27.3 inches),,,,,,1130 mm (44.5 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derbi Red Bullet,2004,Scooter," 3.2  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.4 ccm (3.01 cubic inches),"Single cylinder, two-stroke",,10.5:1,40.0 x 39.3 mm (1.6 x 1.5 inches),Carburettor,Air,,,,120/70-12 ,120/70-12 ,Single disc,110 mm (4.3 inches),Expanding brake (drum brake),,,1810 mm (71.3 inches),,1265 mm (49.8 inches),7.00 litres (1.85 US gallons),Red,,,,,,,"Hydraulic fork, 25 mm",65 mm (2.6 inches),Mono shock,60 mm (2.4 inches),,675 mm (26.6 inches),,,,,,1115 mm (43.9 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
