Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Compression,Bore x stroke,Fuel system,Fuel control,Ignition,Lubrication system,Gearbox,Transmission type,Clutch,Driveline,Fuel consumption,Greenhouse gases,Emission details,Frame type,Rake (fork angle),Trail,Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Front tire,Rear tire,Front brakes,Diameter,Rear brakes,Wheels,"Weight incl. oil, gas, etc",Seat height,Overall height,Overall length,Overall width,Ground clearance,Wheelbase,Fuel capacity,Reserve fuel capacity,Oil capacity,Color options,Starter,Cooling system,Dry weight,Electrical,Top speed,Light,Factory warranty,Comments,Engine details,Valves per cylinder,Exhaust system,Power/weight ratio,Seat,Instruments,Carrying capacity,Alternate seat height,Engine oil,Brake fluid,Spark plugs,Idle speed,Tire pressure front,Tire pressure rear,Fork tube size,0-100 km/h (0-62 mph),Modifications compared to previous model,Max RPM,Coolant,Chain size,Chain links,Sprockets,"60-140 km/h (37-87 mph), highest gear",1/4 mile (0.4 km),Battery,Oil filter,Belt teeth,Belt width,Pulley teeth
Yamaha X-MAX 300,2020,Scooter," 3.6  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",292.0 ccm (17.82 cubic inches),"Single cylinder, four-stroke",27.6 HP (20.2  kW)) @ 7250 RPM,29.0 Nm (3.0 kgf-m or 21.4 ft.lbs) @ 5750 RPM,10.9:1,70.0 x 75.9 mm (2.8 x 3.0 inches),Injection,Single Overhead Cams (SOHC),TCI,,Automatic,Belt   (final drive),,V-Belt Automatic,,,,Underbone,,,Telescopic forks,110 mm (4.3 inches),Unit Swing,84 mm (3.3 inches),120/70-15 ,140/70-14 ,Single disc. Hydraulic. ABS.,245 mm (9.6 inches),Single disc. Hydraulic. ABS.,Dunlop® Scoot Smart tyres,179.0 kg (394.6 pounds),"795 mm (31.3 inches) If adjustable, lowest setting.",1415 mm (55.7 inches),2185 mm (86.0 inches),775 mm (30.5 inches),135 mm (5.3 inches),1540 mm (60.6 inches),13.00 litres (3.43 US gallons),,1.30 litres (1.37 US quarts),Matt Silver,Electric,Liquid,,,,LED front and rear lights,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italika V200,2020,Sport touring,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,200.0 ccm (12.20 cubic inches),"Single cylinder, four-stroke",15.0 HP (10.9  kW)) @ 7500 RPM,16.0 Nm (1.6 kgf-m or 11.8 ft.lbs) @ 5500 RPM,,,Injection,Overhead Cams (OHC),CDI,,,Chain   (final drive),,,,,,,,,Telescopic fork,,Swingarm with single shock absorber ,,100/80-17 ,120/80-17 ,Single disc,,Single disc,,,"780 mm (30.7 inches) If adjustable, lowest setting.",1205 mm (47.4 inches),2090 mm (82.3 inches),865 mm (34.1 inches),,,14.00 litres (3.70 US gallons),,1.00 litres (1.06 US quarts),"Orange, Black",Electric & kick,Air,156.0 kg (343.9 pounds),,110.0 km/h (68.4 mph),,,Mexican brand,,,,0.0962 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha FZ-S Fi,2020,Naked bike,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,149.0 ccm (9.09 cubic inches),"Single cylinder, four-stroke",13.2 HP (9.6  kW)) @ 8000 RPM,12.8 Nm (1.3 kgf-m or 9.4 ft.lbs) @ 6000 RPM,9.5:1,57.3 x 57.9 mm (2.3 x 2.3 inches),Injection,Single Overhead Cams (SOHC),TCI,"Force-feed lubrication, wet sump",5-speed,Chain   (final drive),"Wet, multiple-disc",,,,,Diamond,25.0°,101 mm (4.0 inches),Telescopic fork,,Swingarm,,100/80-17 ,140/60-17 ,Single disc,,Expanding brake (drum brake),,131.0 kg (288.8 pounds),"790 mm (31.1 inches) If adjustable, lowest setting.",1030 mm (40.6 inches),2073 mm (81.6 inches),770 mm (30.3 inches),160 mm (6.3 inches),1330 mm (52.4 inches),12.00 litres (3.17 US gallons),,,"Red, black",Electric,Air,,"12V, 4.0AH (10H), Sealed type battery.",,,,Sold in Asia.,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beta RR 2T 250,2020,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,249.0 ccm (15.19 cubic inches),"Single cylinder, two-stroke",,,13.2:1,66.4 x 72.0 mm (2.6 x 2.8 inches),Carburettor. Keihin PWK36,,AC Kokusan CDI,,6-speed,,,,,,,Molybdenum Stell with double cradle,,,Hydraulic Telescopic 48mm,290 mm (11.4 inches),Monoshock with progressive compound lever,300 mm (11.8 inches),90/90-21 ,140/80-18 ,Single disc,240 mm (9.4 inches),Single disc,,,"930 mm (36.6 inches) If adjustable, lowest setting.",1270 mm (50.0 inches),2172 mm (85.5 inches),815 mm (32.1 inches),320 mm (12.6 inches),1482 mm (58.3 inches),9.50 litres (2.51 US gallons),2.40 litres (0.63 US gallons),,Red/Black/White,Electric,Liquid,117.0 kg (257.9 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAS GAS TrialGP 280,2020,Trial,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,272.2 ccm (16.61 cubic inches),"Single cylinder, two-stroke",,,,76.0 x 60.0 mm (3.0 x 2.4 inches),Carburettor,,CDI digital magnetic flywheel,,6-speed,Chain   (final drive),GG 1/3 hydraulic-diaphragm-system,,,,,Chrom-Molybdenum tubular frame,,,"TECH with aluminium bar Ø 39, 180mm of travel",167 mm (6.6 inches),ÖHLINS hydraulic mono shock absorber (2 ways). Rebound and spring pre-load ajustable.,174 mm (6.9 inches),2.75-21 ,4.00-18 ,"Single disc. NG WAVE floating, monoblock 4 pistons BRAKTEC calipe",150 mm (5.9 inches),"Single disc. NG WAVE, autostand system 2 pistons BRAKTEC caliper. ",,,"650 mm (25.6 inches) If adjustable, lowest setting.",1130 mm (44.5 inches),2010 mm (79.1 inches),825 mm (32.5 inches),,1320 mm (52.0 inches),2.50 litres (0.66 US gallons),,,Red/black/white,Kick,Liquid,67.0 kg (147.7 pounds),,,,,Spanish brand. ,Reed valve. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motomel Max 110,2020,"Minibike, sport",Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,108.0 ccm (6.59 cubic inches),"Single cylinder, four-stroke",7.1 HP (5.2  kW)) @ 8500 RPM,,,52.4 x 49.5 mm (2.1 x 1.9 inches),,,,,,,,,2.10 litres/100 km (47.6 km/l or 112.01 mpg),48.7 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,Telescopic fork,,Single shock,,3.5-10 ,3.5-10 ,Single disc,,Expanding brake (drum brake),,,,990 mm (39.0 inches),1540 mm (60.6 inches),730 mm (28.7 inches),,,,,,"Black, White, Blue",Electric & kick,Air,80.0 kg (176.4 pounds),,,,,,,,,0.0888 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,
Evolet Pony Classic,2020,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,,Electric,,,,,,,,,,,,,,,,,,,Hydrauliv Telescopic,,Double shocker with dual tube technology,,90/100-10 ,90/100-10 ,Expanding brake (drum brake). E-ABS,,Expanding brake (drum brake). E-ABS,,,"695 mm (27.4 inches) If adjustable, lowest setting.",750 mm (29.5 inches),1800 mm (70.9 inches),400 mm (15.7 inches),170 mm (6.7 inches),,,,,"White, Blue, Red, Silver, Black",Electric,,82.0 kg (180.8 pounds),,,,,"Range 100-110km/charge
Chargingtime 3-4hr
Micro Charger with Auto Cut",BLDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sym Cruisym 300i,2020,Scooter," 3.4  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",278.3 ccm (16.98 cubic inches),"Single cylinder, four-stroke",27.5 HP (20.1  kW)) @ 7750 RPM,27.0 Nm (2.8 kgf-m or 19.9 ft.lbs) @ 6750 RPM,,,Injection. EFI,,CDI,,Automatic,Belt   (final drive),,CVT,,,Euro 4,Pipe Under Bone,,,Telescopic Fork,88 mm (3.5 inches),Unit Swing Arm,89 mm (3.5 inches),120/70-14 ,140/60-13 ,Single disc. ABS,240 mm (9.4 inches),Single disc. ABS,Aluminum rims,198.0 kg (436.5 pounds),"760 mm (29.9 inches) If adjustable, lowest setting.",1440 mm (56.7 inches),2176 mm (85.7 inches),760 mm (29.9 inches),,1550 mm (61.0 inches),12.00 litres (3.17 US gallons),,,"Black, Red, White, gray",Electric,Liquid,,,129.0 km/h (80.2 mph),LED Headlights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati Monster 1200 S,2020,Naked bike," 3.4  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1198.0 ccm (73.10 cubic inches),"V2, four-stroke",147.0 HP (107.3  kW)) @ 9250 RPM,124.0 Nm (12.6 kgf-m or 91.5 ft.lbs) @ 7750 RPM,13.0:1,106.0 x 67.9 mm (4.2 x 2.7 inches),Injection. 53mm throttle bodies with full  Ride by Wire,Desmodromic valve control,,,6-speed,Chain   (final drive),"Light action, wet, multiplate clutch with hydraulic control. Self-servo action on drive, slipper action on over-run.","Front sprocket 15; Rear sprocket 41. Primary drive: Straight cut gears, ratio 1.84.",5.20 litres/100 km (19.2 km/l or 45.23 mpg),120.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,,Tubular steel Trellis frame attached to the cylinders head,23.3°,87 mm (3.4 inches),43mm Kayaba fully adjustable usd forks,,Progressive linkage Sachs with fully adjustable monoshock. Aluminium single-sided swingarm,,120/70-ZR17 ,190/55-ZR17 ,Double disc. ABS. Floating discs. Four-piston calipers. Radially mounted. ,245 mm (9.6 inches),Single disc. ABS. Floating disc. Two-piston calipers. ,,213.0 kg (469.6 pounds),"795 mm (31.3 inches) If adjustable, lowest setting.",1040 mm (40.9 inches),2200 mm (86.6 inches),830 mm (32.7 inches),,1485 mm (58.5 inches),16.50 litres (4.36 US gallons),,,"Ducati Red, Black",Electric,Liquid,185.0 kg (407.9 pounds),,,,2 years unlimited mileage,,Testastretta 11° L-Twin,4,Lightweight 2-1-2 system with catalytic converter and two lambda probes. Twin aluminium mufflers,0.7946 HP/kg,Dual seat,Colour TFT display,,,,,,,,,,,,,,,,,,,,,,,
Motomel Skua 150 Silver Edition,2020,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,150.0 ccm (9.15 cubic inches),"Single cylinder, four-stroke",11.4 HP (8.3  kW)) @ 8320 RPM,,9.3:1,62.0 x 50.0 mm (2.4 x 2.0 inches),,,,,,,,,,,,,,,Inverted Telescopic,,Single shock,,90/90-21 ,120/90-18 ,Single disc,,Single disc,,,,900 mm (35.4 inches),2100 mm (82.7 inches),770 mm (30.3 inches),,,,,,Silver,Electric & kick,Air,122.0 kg (269.0 pounds),,,,,,,,,0.0934 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,
GreenTrans iE125,2020,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,,Electric,8.1 HP (5.9  kW)),,,,,,,,1-speed,Belt   (final drive),,,,,No direct emissions,Steel tube,,,Dual Hydraulic Shock Absorber,,Single Hydraulic Shock Absorber,,90/90-12 ,100/80-10 ,Expanding brake (drum brake),,Expanding brake (drum brake),,,,1110 mm (43.7 inches),1800 mm (70.9 inches),630 mm (24.8 inches),,,,,,"Orange, grey, white, blue",Electric,,124.0 kg (273.4 pounds),,100.0 km/h (62.1 mph),,,Lithium Iron Phosphate 87.6V 36Ah battery. Range 150 km. Recharging time: 6 hours. Made in Taiwan.,DC Brushless Belt-Drive Side Motor,,,0.0649 HP/kg,,Dashboard TFT ,,,,,,,,,,,,,,,,,,,,,,,
Fosti F32,2020,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,149.0 ccm (9.09 cubic inches),"Single cylinder, four-stroke",12.1 HP (8.8  kW)) @ 9000 RPM,9.0 Nm (0.9 kgf-m or 6.6 ft.lbs) @ 7500 RPM,,,Carburettor,,,,,Chain   (final drive),,,2.20 litres/100 km (45.5 km/l or 106.92 mpg),51.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,Telescopic fork,,Dual shocks,,2.75-18 ,3.25-18 ,Single disc,,Expanding brake (drum brake),,125.0 kg (275.6 pounds),,1090 mm (42.9 inches),2025 mm (79.7 inches),770 mm (30.3 inches),,1180 mm (46.5 inches),15.00 litres (3.96 US gallons),,,Green/black,,,110.0 kg (242.5 pounds),,90.0 km/h (55.9 mph),,,Chinese brand.,,,,0.1097 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,
Honda Africa Twin,2020,Enduro / offroad," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",1084.0 ccm (66.15 cubic inches),"Twin, four-stroke",101.0 HP (73.7  kW)) @ 7500 RPM,104.4 Nm (10.6 kgf-m or 77.0 ft.lbs) @ 6000 RPM,10.1:1,92.0 x 81.5 mm (3.6 x 3.2 inches),Injection. PGM-FI electronic fuel injection (throttle by wire),Single Overhead Cams (SOHC),Full transistorized ignition,,6-speed,Chain   (final drive),"Wet, multi-plate with coil springs, aluminum cam assist and slipper clutch",#525 Chain; 16T/42T,,,Meets current EPA standards. Models sold in California meet current CARB standards and may differ slightly due to emissions equipment.,Steel semi-double cradle type with high-tensile strength steel rear sub-frame,,,Inverted telescopic fork,231 mm (9.1 inches),Pro-Link® system w/ single shock,221 mm (8.7 inches),90/90-21 ,150/70-R18 ,Double disc. Switchable ABS. 4-piston calipers and sintered metal pads,256 mm (10.1 inches),Single disc. Switchable ABS. 2-piston caliper and sintered metal pads.,Wire spoked,227.3 kg (501.0 pounds),"851 mm (33.5 inches) If adjustable, lowest setting.",,,,,1575 mm (62.0 inches),18.93 litres (5.00 US gallons),3.79 litres (1.00 US gallons),,Matte Black Metallic ,Electric,Liquid,,,,,1 year,Small windscreen. Model Id: CRF1000L.,,4,,,,,,"871 mm (34.3 inches) If adjustable, highest setting.",,,,,,,,,,,,,,,,,,,,,
Atlas Honda CB150F,2020,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,149.6 ccm (9.13 cubic inches),"Single cylinder, four-stroke",17.6 HP (12.8  kW)) @ 10500 RPM,12.7 Nm (1.3 kgf-m or 9.3 ft.lbs) @ 8500 RPM,9.1:1,57.3 x 57.8 mm (2.3 x 2.3 inches),,Single Overhead Cams (SOHC),,Forced pressure and wet sump,6-speed,Chain   (final drive),"Wet, multiplate",,,,,Diamond,,,Telescopic,107 mm (4.2 inches),Swing arm,91 mm (3.6 inches),80/100-18 ,90/90-18 ,Single disc,,Single disc,K,,,1085 mm (42.7 inches),2051 mm (80.7 inches),760 mm (29.9 inches),,1311 mm (51.6 inches),13.00 litres (3.43 US gallons),,,"Brown, Grat, Black/Brown",Electric,Liquid,124.0 kg (273.4 pounds),,,,,Small windscreen. Sold in Pakistan.,,4,,0.1417 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,
Fosti F66,2020,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,149.0 ccm (9.09 cubic inches),"Single cylinder, four-stroke",12.1 HP (8.8  kW)) @ 9000 RPM,9.0 Nm (0.9 kgf-m or 6.6 ft.lbs) @ 7500 RPM,,,Carburettor,,,,,Chain   (final drive),,,2.20 litres/100 km (45.5 km/l or 106.92 mpg),51.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,Telescopic fork,,Dual shocks,,90/90-17 ,110/80-17 ,Expanding brake (drum brake),,Expanding brake (drum brake),,124.0 kg (273.4 pounds),,1050 mm (41.3 inches),1940 mm (76.4 inches),780 mm (30.7 inches),,1270 mm (50.0 inches),12.50 litres (3.30 US gallons),,,Green ,,,110.0 kg (242.5 pounds),,90.0 km/h (55.9 mph),,,Chinese brand.,,,,0.1097 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,
