Model,Year,Category,Rating,Displacement,Engine type,Fuel system,Gearbox,Transmission type,Clutch,Seat,Light,Engine details,Power,Top speed,Compression,Bore x stroke,Fuel control,Ignition,Lubrication system,Cooling system,Fuel consumption,Greenhouse gases,Frame type,Front suspension,Rear suspension,Front tire,Rear tire,Front brakes,Diameter,Rear brakes,Dry weight,Power/weight ratio,Overall length,Wheelbase,Fuel capacity,Wheels,Starter,"Weight incl. oil, gas, etc",Seat height,Overall height,Overall width,Oil capacity,Exhaust system,Carrying capacity,Valves per cylinder,Driveline,Color options,Comments
NSU 201TS,1931,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,199.2 ccm (12.16 cubic inches),"Single cylinder, four-stroke",Carburettor. Amac PJ 30,3-speed,Chain   (final drive),,Single spring-mounted,,,4.5 HP (3.3  kW)) @ 4000 RPM,65.0 km/h (40.4 mph),,56.5 x 80.0 mm (2.2 x 3.1 inches),,Magneto Bosch,,Air,3.00 litres/100 km (33.3 km/l or 78.41 mpg),69.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,3-26 ,3-26 ,Expanding brake (drum brake),,Expanding brake (drum brake),100.0 kg (220.5 pounds),0.0450 HP/kg,2080 mm (81.9 inches),1345 mm (53.0 inches),8.50 litres (2.25 US gallons),,Kick,,"740 mm (29.1 inches) If adjustable, lowest setting.",920 mm (36.2 inches),820 mm (32.3 inches),,,,,,,
NSU 351TS,1931,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,346.0 ccm (21.11 cubic inches),"Single cylinder, four-stroke",Carburettor. Amac,3-speed,Chain   (final drive),,,,,8.0 HP (5.8  kW)) @ 4000 RPM,100.0 km/h (62.1 mph),,71.0 x 88.0 mm (2.8 x 3.5 inches),,Magneto Bosch,,Air,3.50 litres/100 km (28.6 km/l or 67.21 mpg),81.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,Double steel,,,3.50-26 ,3.50-26 ,Expanding brake (drum brake),,Expanding brake (drum brake),130.0 kg (286.6 pounds),0.0615 HP/kg,1990 mm (78.3 inches),1330 mm (52.4 inches),10.00 litres (2.64 US gallons),,Kick,,,920 mm (36.2 inches),830 mm (32.7 inches),,,,,,,
Henderson KJ Streamline,1931,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1301.0 ccm (79.39 cubic inches),"In-line four, four-stroke",Carburettor,,Chain   (final drive),,Single ,,,40.0 HP (29.2  kW)) @ 4000 RPM,164.0 km/h (101.9 mph),,,Overhead Valves (OHV),,,,,,,,,,,Expanding brake (drum brake),,Expanding brake (drum brake),,,,,,Spoked,,,,,,,Side exhaust valve four - cylinder,,,,,
BMW R2 Series 1,1931,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,198.0 ccm (12.08 cubic inches),"Single cylinder, four-stroke",Carburettor. 19mm,3-speed,Shaft drive (cardan)   (final drive),Dry-single plate-cable operated,Solo seat with springs,,,6.0 HP (4.4  kW)) @ 3500 RPM,95.0 km/h (59.0 mph),6.7:1,63.0 x 64.0 mm (2.5 x 2.5 inches),Overhead Valves (OHV),Battery,Wet sump ,Air,2.75 litres/100 km (36.4 km/l or 85.53 mpg),63.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,Pressed steel duplex,Cartridge,Rigid,2.99-25.00 ,2.99-25.00 ,Expanding brake (drum brake),180 mm (7.1 inches),Expanding brake (drum brake),,,1950 mm (76.8 inches),1320 mm (52.0 inches),11.00 litres (2.91 US gallons),,Kick,130.0 kg (286.6 pounds),,950 mm (37.4 inches),850 mm (33.5 inches),,,200kg,,,,
Ardie Silberpfeil,1931,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,500.0 ccm (30.51 cubic inches),"Single cylinder, four-stroke",Carburettor,,Chain   (final drive),,Single ,,,18.0 HP (13.1  kW)),,,,,,,Air,,,,,,,,Expanding brake (drum brake),,Expanding brake (drum brake),,,,,,Spoked,,,,,,,,,,,,
Indian Chief,1931,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1210.0 ccm (73.83 cubic inches),"V2, four-stroke",Carburettor. Linkert,,Chain   (final drive),,,,,,,,83.0 x 113.0 mm (3.3 x 4.4 inches),,,,,,,,Telescopic,Plungertype with coil springs,,,Expanding brake (drum brake),,Expanding brake (drum brake),,,,1540 mm (60.6 inches),,,,,,,,,,,,,,
NSU 601 TS,1931,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,592.0 ccm (36.12 cubic inches),"Single cylinder, four-stroke",Carburettor. Amac,,Chain   (final drive),,Single spring-mounted,,,12.5 HP (9.1  kW)) @ 4250 RPM,105.0 km/h (65.2 mph),,87.5 x 99.0 mm (3.4 x 3.9 inches),,Magneto Bosch,,Air,4.50 litres/100 km (22.2 km/l or 52.27 mpg),104.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,Double steel,,,3.50-26 ,4-27 ,Expanding brake (drum brake),,Expanding brake (drum brake),165.0 kg (363.8 pounds),0.0758 HP/kg,2100 mm (82.7 inches),1390 mm (54.7 inches),13.00 litres (3.43 US gallons),Spoked,Kick,,,1040 mm (40.9 inches),830 mm (32.7 inches),2.00 litres (2.11 US quarts),,,,,,
Harley-Davidson Model BA,1931,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,344.2 ccm (21.00 cubic inches),"Single cylinder, four-stroke",Carburettor. Schebler,,Chain   (final drive),,Spring-mounted seat,Headlights electric,,,,,,Sidevalves,,,,,,,Leading link -coil springs,Rigid-,,,,,,,,,,,,,,,,,,,,,,,
NSU 301TS,1931,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,298.0 ccm (18.18 cubic inches),"Single cylinder, four-stroke",Carburettor. Amac MD 30,3-speed,Chain   (final drive),,Single ,,,7.0 HP (5.1  kW)) @ 4000 RPM,85.0 km/h (52.8 mph),,66.0 x 88.0 mm (2.6 x 3.5 inches),,Magneto Bosch,,Air,3.50 litres/100 km (28.6 km/l or 67.21 mpg),81.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,Double steel,,,3-25 ,3-25 ,Expanding brake (drum brake),,Expanding brake (drum brake),130.0 kg (286.6 pounds),0.0538 HP/kg,1990 mm (78.3 inches),1330 mm (52.4 inches),10.00 litres (2.64 US gallons),Spoked,Kick,,"690 mm (27.2 inches) If adjustable, lowest setting.",920 mm (36.2 inches),830 mm (32.7 inches),,,,,,,
BMW R11 Series 3,1931,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,745.0 ccm (45.46 cubic inches),"Two cylinder boxer, four-stroke",Carburettor. Single SUM CK 3/500 F 1,3-speed,Shaft drive (cardan)   (final drive),Two plates-dry,Spring-mounted seat,,,18.0 HP (13.1  kW)) @ 3400 RPM,100.0 km/h (62.1 mph),5.5:1,78.0 x 78.0 mm (3.1 x 3.1 inches),Sidevalves,Magneto,Forced feed,Air,4.50 litres/100 km (22.2 km/l or 52.27 mpg),104.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,Steel-double cradlel,Plate springe,Rigid,3.50-26.00 ,3.50-26.00 ,Expanding brake (drum brake),55 mm (2.2 inches),,,,2100 mm (82.7 inches),1380 mm (54.3 inches),14.00 litres (3.70 US gallons),,Kick,162.0 kg (357.1 pounds),,940 mm (37.0 inches),890 mm (35.0 inches),,,210kg,,,,
Norton 490 CS 1,1931,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,490.0 ccm (29.90 cubic inches),"Single cylinder, four-stroke",Carburettor,,Chain   (final drive),,Solo seat with springs,,,,128.8 km/h (80.0 mph),,,Single Overhead Cams (SOHC),,,,,,,,,,,Expanding brake (drum brake),,Expanding brake (drum brake),145.0 kg (319.7 pounds),,,,,Spoked,,,,,,,,,,,,
Rudge Ulster 500,1931,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,499.0 ccm (30.45 cubic inches),"Single cylinder, four-stroke",Carburettor,,Chain   (final drive),,Single spring-mounted,,,45.0 HP (32.8  kW)) @ 5300 RPM,160.9 km/h (100.0 mph),,85.0 x 88.0 mm (3.3 x 3.5 inches),Overhead Valves (OHV),,,Air,,,,,,,,Expanding brake (drum brake),,Expanding brake (drum brake),,,,,,Spoked,,,,,,,,,,,,
BMW R 16,1931,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,736.0 ccm (44.91 cubic inches),"Twin, four-stroke",Carburettor. BMW triple 26mm,,Shaft drive (cardan)   (final drive),Doble plate-dry,Spring-mounted seat,,,25.0 HP (18.2  kW)) @ 4000 RPM,120.0 km/h (74.6 mph),6.5:1,83.0 x 68.0 mm (3.3 x 2.7 inches),Overhead Valves (OHV),Magneto,Forced feed,,5.00 litres/100 km (20.0 km/l or 47.04 mpg),116.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,Steel-frame loop,Plate spring,Rigid-,26-3.5 ,26-3.5 ,Expanding brake (drum brake),55 mm (2.2 inches),,,,2100 mm (82.7 inches),1380 mm (54.3 inches),14.00 litres (3.70 US gallons),Spoked,,165.0 kg (363.8 pounds),,950 mm (37.4 inches),890 mm (35.0 inches),,,,,,,
Ariel 4F Square Four 500,1931,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,498.0 ccm (30.39 cubic inches),Square four cylinder,Carburettor. Amal,4-speed,Chain   (final drive),,,,Double twin - square 4 cylinder arrangement,,120.7 km/h (75.0 mph),6.9:1,51.0 x 61.0 mm (2.0 x 2.4 inches),Overhead Cams (OHC),,Wet sump,Air,,,Tubular single loop,Spring girders,Rigid,3.25-19 ,3.25-19 ,Expanding brake (drum brake),,Expanding brake (drum brake),193.0 kg (425.5 pounds),,2100 mm (82.7 inches),1385 mm (54.5 inches),13.25 litres (3.50 US gallons),Wire spoked,Kick,,,,,,2 x 1-into-1 pipes,,2,Burman gearbox,Red/beige,Also called Squariel.
BMW R11 Series 2,1931,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,745.0 ccm (45.46 cubic inches),"Two cylinder boxer, four-stroke",Carburettor. BMW single 24mm,3-speed,Shaft drive (cardan)   (final drive),Two plates-dry,Spring-mounted seat,,,18.0 HP (13.1  kW)) @ 3400 RPM,100.0 km/h (62.1 mph),5.5:1,78.0 x 78.0 mm (3.1 x 3.1 inches),Sidevalves,Magneto,Forced feed,Air,4.50 litres/100 km (22.2 km/l or 52.27 mpg),104.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,Steel-double cradlel,Plate springe,Rigid,3.25-26.00 ,3.25-26.00 ,Expanding brake (drum brake),55 mm (2.2 inches),,,,2100 mm (82.7 inches),1380 mm (54.3 inches),14.00 litres (3.70 US gallons),,Kick,162.0 kg (357.1 pounds),,940 mm (37.0 inches),890 mm (35.0 inches),,,210kg,,,,
DKW E 200,1931,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,199.0 ccm (12.14 cubic inches),"Single cylinder, two-stroke",Carburettor,,,,Single ,,,,65.0 km/h (40.4 mph),,63.0 x 64.0 mm (2.5 x 2.5 inches),,,,Air,,,,,,2.5-26 ,2.5-26 ,Expanding brake (drum brake),,Expanding brake (drum brake),83.0 kg (183.0 pounds),,,,,Spoked,,,,,,,,,,,,
DKW Schüttoff JS 500,1931,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,498.0 ccm (30.39 cubic inches),"Single cylinder, four-stroke",Carburettor,,,,Two single seats,,,,68.0 km/h (42.3 mph),,80.0 x 99.0 mm (3.1 x 3.9 inches),Sidevalves,,,Air,,,Pressed steel ,Telescopic,Rigid,3.5-26 ,3.5-26 ,Expanding brake (drum brake),,Expanding brake (drum brake),150.0 kg (330.7 pounds),,,,,Spoked,,,,,,,,,,,,
Harley-Davidson Model C,1931,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,742.6 ccm (45.31 cubic inches),"Twin, four-stroke",,,Chain   (final drive),,Single spring-mounted,,,,,,69.9 x 96.9 mm (2.8 x 3.8 inches),,,,,,,,,,3.00-26 ,3.00-26 ,Expanding brake (drum brake),,Expanding brake (drum brake),167.0 kg (368.2 pounds),,,,,Spoked,,,,,,,,,,,,
DKW Block 300,1931,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,292.0 ccm (17.82 cubic inches),"Single cylinder, two-stroke",Carburettor. Zweihebel-Framo B,4-speed,Chain   (final drive),,Solo seat with springs,,,,,,74.0 x 68.0 mm (2.9 x 2.7 inches),,Battery-,,Air,3.50 litres/100 km (28.6 km/l or 67.21 mpg),81.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,Pressed steel ,,None,3-25 ,3-25 ,Expanding brake (drum brake),,Expanding brake (drum brake),,,,1290 mm (50.8 inches),12.50 litres (3.30 US gallons),Spoked,,125.0 kg (275.6 pounds),,,,,,,,,,
Indian 402,1931,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1265.0 ccm (77.19 cubic inches),"In-line four, four-stroke",Carburettor,,Chain   (final drive),,Single spring-mounted,,,,153.0 km/h (95.1 mph),,,,,,,,,Twin downtube,Trailing link,Rigid,,,Expanding brake (drum brake),,Expanding brake (drum brake),,,,,,Spoked,,,,,,,,,,,,
