Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Cooling system,Gearbox,Transmission type,Front brakes,Rear brakes,Dry weight,Power/weight ratio,Wheelbase,Fuel capacity,Torque,0-100 km/h (0-62 mph),"60-140 km/h (37-87 mph), highest gear",Compression,Bore x stroke,Fuel consumption,Greenhouse gases,Front wheel travel,Rear wheel travel,Front tire,Rear tire,Diameter,"Weight incl. oil, gas, etc",Front percentage of weight,Seat height,Starter,Comments,Valves per cylinder,Fuel system,Alternate seat height,Fuel control,Ignition,Rake (fork angle),Trail,Front suspension,Rear suspension,Oil capacity,Engine oil,Brake fluid,Coolant,Spark plugs,Idle speed,Tire pressure front,Tire pressure rear,Fork tube size,Frame type,Color options,Lubrication system,Clutch,Driveline,Overall length,Ground clearance,Electrical,Chain links,Sprockets,Max RPM,Overall height,Overall width,Reserve fuel capacity,Exhaust system,Modifications compared to previous model,1/4 mile (0.4 km),Engine details,Emission details,Carrying capacity,Rear percentage of weight,Wheels,Oil filter,Battery,Belt teeth,Belt width,Pulley teeth
Honda RVF 750 (RC-45),1999,Sport," 3.4  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",749.0 ccm (45.70 cubic inches),"In-line four, four-stroke",120.0 HP (87.6  kW)) @ 12000 RPM,260.0 km/h (161.6 mph),Liquid,6-speed,Chain   (final drive),Dual disc,Single disc,195.0 kg (429.9 pounds),0.6154 HP/kg,1410 mm (55.5 inches),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Tiger 900,1999,Enduro / offroad," 3.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",885.0 ccm (54.00 cubic inches),"In-line three, four-stroke",83.0 HP (60.6  kW)) @ 8000 RPM,196.0 km/h (121.8 mph),Liquid,6-speed,Chain   (final drive),Dual disc,Single disc,,,1560 mm (61.4 inches),25.00 litres (6.61 US gallons),82.0 Nm (8.4 kgf-m or 60.5 ft.lbs) @ 6000 RPM,4.20 seconds,10.30 seconds,10.6:1,76.0 x 65.0 mm (3.0 x 2.6 inches),5.60 litres/100 km (17.9 km/l or 42.00 mpg),129.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,235 mm (9.3 inches),200 mm (7.9 inches),110/90-19 ,150/70-R17 ,255 mm (10.0 inches),258.5 kg (569.9 pounds),48.0,"850 mm (33.5 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson XLH Sportster 1200 Sport,1999,Custom / cruiser," 3.4  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1199.0 ccm (73.16 cubic inches),"V2, four-stroke",61.0 HP (44.5  kW)) @ 5500 RPM,186.0 km/h (115.6 mph),Air,5-speed,Belt   (final drive),Dual disc,Single disc,,,1528 mm (60.2 inches),12.50 litres (3.30 US gallons),88.0 Nm (9.0 kgf-m or 64.9 ft.lbs) @ 4000 RPM,5.50 seconds,13.30 seconds,10.0:1,88.8 x 96.8 mm (3.5 x 3.8 inches),5.50 litres/100 km (18.2 km/l or 42.77 mpg),127.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,175 mm (6.9 inches),92 mm (3.6 inches),100/70-19 ,130/90-16 ,292 mm (11.5 inches),238.0 kg (524.7 pounds),46.3,"730 mm (28.7 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Thunderbird Sport,1999,Naked bike," 3.9  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",885.0 ccm (54.00 cubic inches),"In-line three, four-stroke",82.0 HP (59.9  kW)) @ 8500 RPM,165.0 km/h (102.5 mph),Liquid,6-speed,Chain   (final drive),Dual disc,Single disc,224.0 kg (493.8 pounds),0.3661 HP/kg,1580 mm (62.2 inches),17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 850 R,1999,Naked bike," 3.5  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",848.0 ccm (51.74 cubic inches),"Two cylinder boxer, four-stroke",70.0 HP (51.1  kW)) @ 7000 RPM,187.0 km/h (116.2 mph),Oil & air,5-speed,Shaft drive (cardan)   (final drive),Dual disc,Single disc,,,1487 mm (58.5 inches),21.00 litres (5.55 US gallons),77.0 Nm (7.9 kgf-m or 56.8 ft.lbs) @ 5500 RPM,4.50 seconds,11.70 seconds,10.3:1,87.5 x 70.5 mm (3.4 x 2.8 inches),5.90 litres/100 km (16.9 km/l or 39.87 mpg),136.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,120 mm (4.7 inches),130 mm (5.1 inches),120/70-ZR17 ,160/60-ZR18 ,276 mm (10.9 inches),246.0 kg (542.3 pounds),50.6,"760 mm (29.9 inches) If adjustable, lowest setting.",Electric,,4,Injection,"800 mm (31.5 inches) If adjustable, highest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XJR 1300 SP,1999,Naked bike," 3.3  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1251.0 ccm (76.34 cubic inches),"In-line four, four-stroke",98.0 HP (71.5  kW)) @ 8000 RPM,210.0 km/h (130.5 mph),Air,5-speed,Chain   (final drive),Dual disc,Single disc,232.0 kg (511.5 pounds),0.4224 HP/kg,1500 mm (59.1 inches),21.00 litres (5.55 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX-R 750,1999,Sport," 4.0  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",749.0 ccm (45.70 cubic inches),"In-line four, four-stroke",134.0 HP (97.8  kW)) @ 12000 RPM,265.0 km/h (164.7 mph),Liquid,6-speed,Chain   (final drive),Dual disc,Single disc,,,1395 mm (54.9 inches),18.00 litres (4.76 US gallons),82.0 Nm (8.4 kgf-m or 60.5 ft.lbs) @ 10300 RPM,3.10 seconds,9.80 seconds,11.8:1,72.0 x 46.0 mm (2.8 x 1.8 inches),7.20 litres/100 km (13.9 km/l or 32.67 mpg),167.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,120 mm (4.7 inches),133 mm (5.2 inches),120/70-ZR17 ,190/50-ZR17 ,220 mm (8.7 inches),205.0 kg (451.9 pounds),50.2,"830 mm (32.7 inches) If adjustable, lowest setting.",Electric,,4,Injection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 850 GS,1999,Enduro / offroad," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",848.0 ccm (51.74 cubic inches),"Two cylinder boxer, four-stroke",70.0 HP (51.1  kW)) @ 7500 RPM,185.0 km/h (115.0 mph),Oil & air,5-speed,Shaft drive (cardan)   (final drive),,,225.0 kg (496.0 pounds),0.3111 HP/kg,1509 mm (59.4 inches),25.00 litres (6.61 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda Magna 250,1999,Custom / cruiser," 2.8  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"V2, four-stroke",,,Liquid,5-speed,Chain   (final drive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha FZS 600 Fazer,1999,Naked bike," 3.8  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",95.0 HP (69.3  kW)) @ 11500 RPM,214.0 km/h (133.0 mph),Liquid,6-speed,Chain   (final drive),Dual disc,Single disc,,,1415 mm (55.7 inches),18.00 litres (4.76 US gallons),61.0 Nm (6.2 kgf-m or 45.0 ft.lbs) @ 9500 RPM,3.50 seconds,11.80 seconds,12.0:1,62.0 x 49.6 mm (2.4 x 2.0 inches),6.40 litres/100 km (15.6 km/l or 36.75 mpg),148.5 CO2 g/km. (CO2 - Carbon dioxide emission) ,120 mm (4.7 inches),120 mm (4.7 inches),110/70-ZR17 ,160/60-ZR17 ,245 mm (9.6 inches),217.0 kg (478.4 pounds),49.0,"790 mm (31.1 inches) If adjustable, lowest setting.",Electric,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Heritage Softail Classic,1999,Custom / cruiser," 3.5  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1340.0 ccm (81.77 cubic inches),"V2, four-stroke",56.0 HP (40.9  kW)) @ 5000 RPM,150.0 km/h (93.2 mph),Air,5-speed,Belt   (final drive),,,316.8 kg (698.4 pounds),0.1768 HP/kg,1623 mm (63.9 inches),15.90 litres (4.20 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati Monster M600 Dark,1999,Naked bike," 3.3  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",583.0 ccm (35.57 cubic inches),"V2, four-stroke",53.0 HP (38.7  kW)) @ 8250 RPM,155.0 km/h (96.3 mph),Oil & air,5-speed,Chain   (final drive),Single disc,Single disc,,,1430 mm (56.3 inches),18.00 litres (4.76 US gallons),48.0 Nm (4.9 kgf-m or 35.4 ft.lbs) @ 7500 RPM,6.90 seconds,10.50 seconds,10.7:1,80.0 x 58.0 mm (3.1 x 2.3 inches),6.30 litres/100 km (15.9 km/l or 37.34 mpg),146.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,120 mm (4.7 inches),144 mm (5.7 inches),120/60-VR17 ,160/60-VR17 ,245 mm (9.6 inches),188.0 kg (414.5 pounds),47.3,"770 mm (30.3 inches) If adjustable, lowest setting.",Electric,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki VN 1500 Classic,1999,Custom / cruiser," 3.4  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1471.0 ccm (89.76 cubic inches),"V2, four-stroke",64.0 HP (46.7  kW)) @ 4700 RPM,164.0 km/h (101.9 mph),Liquid,5-speed,Shaft drive (cardan)   (final drive),Single disc. Six-piston calipers. ,Single disc. Two-piston calipers. ,292.0 kg (643.7 pounds),0.2192 HP/kg,1660 mm (65.4 inches),16.00 litres (4.23 US gallons),112.0 Nm (11.4 kgf-m or 82.6 ft.lbs) @ 3000 RPM,5.40 seconds,18.00 seconds,8.6:1,102.0 x 90.0 mm (4.0 x 3.5 inches),6.20 litres/100 km (16.1 km/l or 37.94 mpg),143.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,150 mm (5.9 inches),87 mm (3.4 inches),130/90-16 ,150/80-16 ,270 mm (10.6 inches),313.0 kg (690.0 pounds),43.0,"705 mm (27.8 inches) If adjustable, lowest setting.",Electric,,4,Injection. Digital Fuel Injection with dual 36mm throttle bodies,,Single Overhead Cams (SOHC),Digital ,32.0°,177 mm (7.0 inches),41mm cartridge fork,Dual air assisted shock absorbers with 4-way rebound damping adjustment,3.10 litres (3.28 US quarts),SAE 10W-40,DOT 4,2.00 litres (0.53 US gallons),NGK DPR5EA-9,800  +/- 50  RPM,29 PSI (2 Bar or 200 kPa),36 PSI (2.5 Bar or 250 kPa),41 mm (1.6 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia RSV Mille,1999,Sport," 3.8  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",998.0 ccm (60.90 cubic inches),"V2, four-stroke",128.0 HP (93.4  kW)) @ 9300 RPM,267.0 km/h (165.9 mph),Liquid,6-speed,Chain   (final drive),,Single disc,,,1415 mm (55.7 inches),20.00 litres (5.28 US gallons),103.0 Nm (10.5 kgf-m or 76.0 ft.lbs) @ 7000 RPM,3.20 seconds,9.40 seconds,11.4:1,97.0 x 67.5 mm (3.8 x 2.7 inches),7.50 litres/100 km (13.3 km/l or 31.36 mpg),174.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,120 mm (4.7 inches),135 mm (5.3 inches),120/70-ZR17 ,190/50-ZR17 ,220 mm (8.7 inches),220.0 kg (485.0 pounds),49.5,"830 mm (32.7 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KMX 125,1999,Enduro / offroad," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",15.0 HP (10.9  kW)) @ 8500 RPM,106.0 km/h (65.9 mph),Air,6-speed,Chain   (final drive),Single disc,Single disc,,,1375 mm (54.1 inches),9.30 litres (2.46 US gallons),13.0 Nm (1.3 kgf-m or 9.6 ft.lbs) @ 6600 RPM,,,7.8:1,54.0 x 54.4 mm (2.1 x 2.1 inches),5.40 litres/100 km (18.5 km/l or 43.56 mpg),125.3 CO2 g/km. (CO2 - Carbon dioxide emission) ,230 mm (9.1 inches),230 mm (9.1 inches),,,210 mm (8.3 inches),115.0 kg (253.5 pounds),47.0,"860 mm (33.9 inches) If adjustable, lowest setting.",Kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husaberg FE 400 EL,1999,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,399.0 ccm (24.35 cubic inches),"Single cylinder, four-stroke",,140.0 km/h (87.0 mph),Liquid,6-speed,Chain   (final drive),Single disc,Single disc,116.0 kg (255.7 pounds),,1490 mm (58.7 inches),8.50 litres (2.25 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha YZF-R7,1999,Sport," 2.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",749.0 ccm (45.70 cubic inches),"In-line four, four-stroke",140.0 HP (102.2  kW)) @ 10000 RPM,270.0 km/h (167.8 mph),Liquid,6-speed,Chain   (final drive),Dual disc,Single disc,162.0 kg (357.1 pounds),0.8642 HP/kg,1390 mm (54.7 inches),22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 850 C,1999,Custom / cruiser," 2.9  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",848.0 ccm (51.74 cubic inches),"Two cylinder boxer, four-stroke",70.0 HP (51.1  kW)) @ 7000 RPM,155.0 km/h (96.3 mph),Air,5-speed,Shaft drive (cardan)   (final drive),Dual disc,Single disc,240.0 kg (529.1 pounds),0.2917 HP/kg,1650 mm (65.0 inches),17.00 litres (4.49 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM Sting 125,1999,Super motard," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.8 ccm (7.61 cubic inches),"Single cylinder, two-stroke",13.5 HP (9.9  kW)) @ 8400 RPM,102.0 km/h (63.4 mph),Liquid,6-speed,Chain   (final drive),Single disc,Single disc,,,1420 mm (55.9 inches),8.50 litres (2.25 US gallons),13.1 Nm (1.3 kgf-m or 9.7 ft.lbs) @ 7500 RPM,,,12.5:1,56.0 x 50.7 mm (2.2 x 2.0 inches),4.30 litres/100 km (23.3 km/l or 54.70 mpg),99.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,170 mm (6.7 inches),,110/70-17 ,130/70-17 ,220 mm (8.7 inches),121.0 kg (266.8 pounds),46.5,"840 mm (33.1 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XJ 600 S Diversion,1999,Sport touring," 3.2  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",61.0 HP (44.5  kW)) @ 7500 RPM,168.0 km/h (104.4 mph),Air,6-speed,Chain   (final drive),Dual disc,Single disc,,,1445 mm (56.9 inches),17.00 litres (4.49 US gallons),54.0 Nm (5.5 kgf-m or 39.8 ft.lbs),4.70 seconds,24.20 seconds,10.0:1,58.5 x 55.7 mm (2.3 x 2.2 inches),5.80 litres/100 km (17.2 km/l or 40.56 mpg),134.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,140 mm (5.5 inches),110 mm (4.3 inches),110/80-17 ,130/70-18 ,245 mm (9.6 inches),216.0 kg (476.2 pounds),,"775 mm (30.5 inches) If adjustable, lowest setting.",Electric,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
