Model,Year,Category,Rating,Displacement,Engine type,Bore x stroke,Fuel system,Transmission type,Front tire,Rear tire,Wheels,Seat,Dry weight,Power,Top speed,Compression,Fuel control,Lubrication system,Cooling system,Gearbox,Clutch,Frame type,Front suspension,Rear suspension,Front brakes,"Weight incl. oil, gas, etc",Overall height,Overall length,Overall width,Starter,Ignition,Fuel consumption,Greenhouse gases,Diameter,Rear brakes,Fuel capacity,Engine details,Driveline,Exhaust system,Color options,Light,Wheelbase,Carrying capacity,Comments,Power/weight ratio
AJS G6 Bigport,1926,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,349.0 ccm (21.30 cubic inches),"Single cylinder, two-stroke",74.0 x 81.0 mm (2.9 x 3.2 inches),Carburettor. Binks,Chain   (final drive),,,Spoked,Single ,,,,,Overhead Valves (OHV),,,3-speed,,,,,Expanding brake (drum brake),,,,,,Lucas Magneto,,,,Expanding brake (drum brake),,,,,,,,,,
BMW R32,1926,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,494.0 ccm (30.14 cubic inches),"Two cylinder boxer, four-stroke",68.0 x 68.0 mm (2.7 x 2.7 inches),Carburettor. 22 BMW Spezial,Shaft drive (cardan)   (final drive),2.99-26 ,2.99-26 ,,,,8.6 HP (6.3  kW)) @ 3200 RPM,95.0 km/h (59.0 mph),5.1:1,Overhead Valves (OHV),Wet sump ,Air,3-speed,Single plate dry-cable operated,Steel doble cradle,Leading link ,,Expanding brake (drum brake),122.0 kg (269.0 pounds),950 mm (37.4 inches),2100 mm (82.7 inches),800 mm (31.5 inches),Kick,Magneto,3.00 litres/100 km (33.3 km/l or 78.41 mpg),69.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,150 mm (5.9 inches),Expanding brake (drum brake),14.00 litres (3.70 US gallons),,,,,,1380 mm (54.3 inches),184kg,,
Harley-Davidson Model FD,1926,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1208.0 ccm (73.71 cubic inches),"V2, four-stroke",87.3 x 100.0 mm (3.4 x 3.9 inches),Carburettor,Chain   (final drive),3-28 ,3-28 ,Spoked,Single spring-mounted,180.0 kg (396.8 pounds),,,,Overhead Valves (OHV),,,,,,,,Expanding brake (drum brake),,,,,,Magneto,,,,Expanding brake (drum brake),,,,,,,,,,
Harley-Davidson Model JD,1926,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1208.0 ccm (73.71 cubic inches),"V2, four-stroke",87.3 x 100.0 mm (3.4 x 3.9 inches),Carburettor,Chain   (final drive),3-26 ,3-23 ,Spoked,Single ,194.0 kg (427.7 pounds),12.0 HP (8.8  kW)),136.8 km/h (85.0 mph),,,,,,,,,,,,,,,,H.D generator,,,,Expanding brake (drum brake),,,,,,,,,,0.0619 HP/kg
Cleveland Light Four,1926,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,600.0 ccm (36.61 cubic inches),"Single cylinder, four-stroke",,Carburettor,Chain   (final drive),3.5-27 ,3.5-27 ,Spoked,Single spring-mounted,113.0 kg (249.1 pounds),,,,,,,3-speed,,,,,,,,,,,Magneto,,,,,,,,,,,,,,
Harley-Davidson Eight-valve racer,1926,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1000.0 ccm (61.02 cubic inches),"V2, four-stroke",,Carburettor. Schebler,Chain   (final drive),,,Spoked,Single ,,,193.0 km/h (119.9 mph),,Overhead Valves (OHV),,Liquid,1-speed,,,,,,,,,,,,,,,,,,,No pipes,,,,,,
Coventry Eagle Coventry Eagle,1926,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,998.0 ccm (60.90 cubic inches),"Twin, four-stroke",,Carburettor,Chain   (final drive),,,Spoked,Single ,175.0 kg (385.8 pounds),85.5 HP (62.4  kW)),,6.5:1,,,Air,,,,Open tubular,Girder fork,Expanding brake (drum brake),,,,,,Magneto Lucas,,,,Expanding brake (drum brake),,,,,,,,,,0.4886 HP/kg
BMW R37,1926,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,494.0 ccm (30.14 cubic inches),"Two cylinder boxer, four-stroke",68.0 x 68.0 mm (2.7 x 2.7 inches),Carburettor. 26mm,Shaft drive (cardan)   (final drive),2.99-26 ,2.99-26 ,,,,16.0 HP (11.7  kW)) @ 4000 RPM,115.0 km/h (71.5 mph),6.2:1,Overhead Valves (OHV),Wet sump ,Air,3-speed,Single plate dry-cable operated,Steel doble cradle,Leading link ,Rigid,Expanding brake (drum brake),134.0 kg (295.4 pounds),950 mm (37.4 inches),2100 mm (82.7 inches),800 mm (31.5 inches),Kick,Bosh magento,4.00 litres/100 km (25.0 km/l or 58.81 mpg),92.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,150 mm (5.9 inches),,14.00 litres (3.70 US gallons),,,,,,1380 mm (54.3 inches),,,
Indian BHEP,1926,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1204.0 ccm (73.47 cubic inches),"V2, four-stroke",82.0 x 112.0 mm (3.2 x 4.4 inches),Carburettor,Chain   (final drive),3.85-27 ,3.85-27 ,Spoked,Single ,193.0 kg (425.5 pounds),,,,,,,3-speed,,,,,Expanding brake (drum brake),,,,,,Magneto,,,,Expanding brake (drum brake),,,,,,,,,,
Harley-Davidson Model B,1926,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,345.7 ccm (21.09 cubic inches),"Single cylinder, four-stroke",73.0 x 82.6 mm (2.9 x 3.3 inches),,Chain   (final drive),3-26 ,3-26 ,Spoked,Single spring-mounted,113.0 kg (249.1 pounds),,,,Sidevalves,,,,,,,,Expanding brake (drum brake),,,,,,,,,,Expanding brake (drum brake),,,,,,,,,,
Indian BGE,1926,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,596.0 ccm (36.37 cubic inches),"V2, four-stroke",69.0 x 70.0 mm (2.7 x 2.8 inches),Carburettor,Shaft drive (cardan)   (final drive),3.85-25 ,3.85-25 ,,,145.0 kg (319.7 pounds),,,,,,,,,,,,Expanding brake (drum brake),,,,,,Magneto,,,,Expanding brake (drum brake),,,,,,,,,,
Harley-Davidson Model J,1926,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,989.0 ccm (60.35 cubic inches),"V2, four-stroke",84.1 x 88.9 mm (3.3 x 3.5 inches),Carburettor,Chain   (final drive),3-26 ,3-26 ,Spoked,Single ,190.0 kg (418.9 pounds),,136.8 km/h (85.0 mph),,,,,,,,,,,,,,,,H.D generator,,,,Expanding brake (drum brake),,,,,,,,,,
DKW E 206,1926,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,206.0 ccm (12.57 cubic inches),"Single cylinder, two-stroke",64.0 x 64.0 mm (2.5 x 2.5 inches),Carburettor. Framo-E,Belt   (final drive),2.85-26 ,2.85-26 ,Spoked,Single ( two single seats optional),75.0 kg (165.3 pounds),,70.0 km/h (43.5 mph),,,,Air,,,Open tubular ,Bob fork,None,Expanding brake (drum brake),,,,,,,3.00 litres/100 km (33.3 km/l or 78.41 mpg),69.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,,Expanding brake (drum brake),,,,,,,,,,
