Model,Year,Category,Rating,Displacement,Engine type,Compression,Bore x stroke,Fuel system,Fuel control,Ignition,Lubrication system,Cooling system,Gearbox,Transmission type,Front suspension,Rear suspension,Front tire,Rear tire,Front brakes,Rear brakes,Seat height,Overall height,Overall length,Overall width,Wheelbase,Fuel capacity,Color options,Starter,Engine details,Power,Torque,Driveline,Exhaust system,Frame type,Wheels,Dry weight,Power/weight ratio,Comments,Valves per cylinder,Clutch,Rake (fork angle),Trail,Front wheel travel,Rear wheel travel,Diameter,Reserve fuel capacity,Fuel consumption,Greenhouse gases,"Weight incl. oil, gas, etc",Ground clearance,Factory warranty,Top speed,Seat,Light,Emission details,Electrical,Oil capacity,Instruments,Alternate seat height,Carrying capacity,0-100 km/h (0-62 mph),Modifications compared to previous model,Spark plugs,Max RPM,Engine oil,Brake fluid,Coolant,Fork tube size,Idle speed,Tire pressure front,Tire pressure rear,Front percentage of weight,Chain links,Sprockets,Battery
Ducati Monster Diesel,2013,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1078.0 ccm (65.78 cubic inches),"V2, four-stroke",11.3:1,98.0 x 71.5 mm (3.9 x 2.8 inches),"Injection. Siemens electronic fuel injection, 45mm throttle body",Desmodromic valve control,,,Air,6-speed,Chain   (final drive),Marzocchi 43mm fully adjustable usd forks,Progressive with preload and rebound Sachs adjustable monoshock,120/70-ZR17 ,180/55-ZR17 ,Double disc. ABS. Four-piston calipers. ,Single disc. ABS. Two-piston calipers. ,"810 mm (31.9 inches) If adjustable, lowest setting.",,,,1450 mm (57.1 inches),13.50 litres (3.57 US gallons),Green matte,Electric,,98.6 HP (71.9  kW)) @ 7500 RPM,103.0 Nm (10.5 kgf-m or 76.0 ft.lbs) @ 6000 RPM,Chain; Front sprocket 15; Rear sprocket 39. Primary drive: Straight cut gears; Ratio 1.84.,Lightweight 2-1-2 system with catalytic converter and two lambda probes. Twin aluminium mufflers,Tubular steel Trellis frame,10-spoke in light alloy,169.0 kg (372.6 pounds),0.5833 HP/kg,,2,Wet multiplate with hydraulic control,24.0°,87 mm (3.4 inches),,,245 mm (9.6 inches),,,,187.0 kg (412.3 pounds),,2 years unlimited mileage,,,,Euro 3,,,"Digital unit displaying  Speedometer, rev counter, time, scheduled maintenance warning, oil temperature, trip fuel, lap time, warning light for low oil pressure, fuel level, fuel reserve, neutral, turn signals, warning ABS, overrev, DTC, immobilizer. Ready for DDA system.",,,,,,,,,,,,,,,,,
Johnny Pag Malibu 320i,2013,Custom / cruiser," 2.3  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",320.0 ccm (19.53 cubic inches),"Twin, four-stroke",10.5:1,53.0 x 62.0 mm (2.1 x 2.4 inches),Injection,Single Overhead Cams (SOHC),,Forced Lubrication,Liquid,5-speed,Chain   (final drive),39 mm conventional forks,"Dual shocks, fully-adjustable.",90/90-21 ,140/70-18 ,Double disc. 2-piston,Single disc. 2-piston,"508 mm (20.0 inches) If adjustable, lowest setting.",,,,1702 mm (67.0 inches),17.94 litres (4.74 US gallons),"Black, red, white, light blue, blue",Electric,,22.0 HP (16.1  kW)) @ 8500 RPM,,,"Stainless Steel, single sided exhaust",Seamless steel tubing,Stainless Steel Spoked rims with T6 6061 billet hubs,,,,2,,38.0°,,,,,,3.46 litres/100 km (28.9 km/l or 67.98 mpg),80.3 CO2 g/km. (CO2 - Carbon dioxide emission) ,189.6 kg (418.0 pounds),152 mm (6.0 inches),1 year manufacturer warranty,172.2 km/h (107.0 mph),,,,,,,"584 mm (23.0 inches) If adjustable, highest setting.",,,,,,,,,,,,,,,,
Honda CRF450R,2013,Cross / motocross," 2.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",449.7 ccm (27.44 cubic inches),"Single cylinder, four-stroke",12.5:1,96.0 x 62.1 mm (3.8 x 2.4 inches),Injection,,Full transister,,Liquid,5-speed,Chain   (final drive),Telescopic (Inverted) 43mm diameter slide pipe,Swing arm (Pro-link suspension system) 40mm diameter cylinder,80/100-21 ,120/80-19 ,Single disc. Hydraulic. Two-piston calipers. ,Single disc. Hydraulic. Single-piston caliper. ,"953 mm (37.5 inches) If adjustable, lowest setting.",1271 mm (50.0 inches),2191 mm (86.3 inches),827 mm (32.6 inches),1492 mm (58.7 inches),6.40 litres (1.69 US gallons),Red/white,Kick,,51.4 HP (37.5  kW)) @ 8500 RPM,47.7 Nm (4.9 kgf-m or 35.2 ft.lbs) @ 6500 RPM,Constant mesh,,Aluminium twin tube,,,,,,Multi plate wet clutch,,116 mm (4.6 inches),61 mm (2.4 inches),61 mm (2.4 inches),220 mm (8.7 inches),,,,111.0 kg (244.7 pounds),330 mm (13.0 inches),,,,,,12V 6Ah (10HR) battery.,1.80 litres (1.9 US quarts),,,,,,,,,,,,,,,,,,
Jawa-CZ 660,2013,Super motard," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",651.9 ccm (39.78 cubic inches),"Single cylinder, four-stroke",9.7:1,100.0 x 83.0 mm (3.9 x 3.3 inches),Carburettor. Bing,Double Overhead Cams/Twin Cam (DOHC),,,Liquid,5-speed,Chain   (final drive),Paioli telescopic forks,Bitubo shocks,110/90-19 ,140/80-17 ,Double disc. Floating two piston calipers,Single disc. Radial four piston,"860 mm (33.9 inches) If adjustable, lowest setting.",,,,1518 mm (59.8 inches),17.00 litres (4.49 US gallons),"Red/black, yellow/black",Electric,,47.5 HP (34.6  kW)) @ 6500 RPM,57.0 Nm (5.8 kgf-m or 42.0 ft.lbs) @ 5000 RPM,,,Tubular,,195.0 kg (429.9 pounds),0.2434 HP/kg,Rotax engine,4,,,,150 mm (5.9 inches),170 mm (6.7 inches),220 mm (8.7 inches),1.50 litres (0.40 US gallons),,,,,,165.0 km/h (102.5 mph),,,,,,,,"Top box, saddle bags",,,,,,,,,,,,,,,
Lambretta LT 50,2013,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,49.3 ccm (3.01 cubic inches),"Single cylinder, two-stroke",7.0:1,38.0 x 43.5 mm (1.5 x 1.7 inches),Carburettor,Single Overhead Cams (SOHC),Electronic,With mixer,Air,Automatic,Belt   (final drive),Hydraulic telescopic fork with Ø 35 mm stanchions,Hydraulic single damper double effect,110/70-12 ,110/70-12 ,Single disc,Expanding brake (drum brake),"750 mm (29.5 inches) If adjustable, lowest setting.",1330 mm (52.4 inches),1900 mm (74.8 inches),660 mm (26.0 inches),,6.00 litres (1.59 US gallons),"Black, blue, red, white, yellow",Electric & kick,,4.8 HP (3.5  kW)) @ 7500 RPM,4.3 Nm (0.4 kgf-m or 3.2 ft.lbs) @ 7000 RPM,Automatic CVT,,High tensile strength tubular steel,Die-cast light alloy,87.0 kg (191.8 pounds),0.0555 HP/kg,,3,,,,,,260 mm (10.2 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cargobike AS125,2013,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",12.5:1,57.0 x 48.6 mm (2.2 x 1.9 inches),Carburettor,Overhead Cams (OHC),CDI with automatic advance,,Liquid,Automatic,Belt   (final drive),Hydraulic telescopic fork with 35 mm stanchions,Engine unit acting as swinging arm. Double hydraulic shock absorber with 4 preload settings.,120/70-15 ,130/80-15 ,Single disc. Twin piston floating calipers,Single disc. Twin piston opposed calipers,"820 mm (32.3 inches) If adjustable, lowest setting.",,1985 mm (78.1 inches),880 mm (34.6 inches),1360 mm (53.5 inches),9.00 litres (2.38 US gallons),"Excalibur gray, Shot gray, Moka black",Electric,,14.8 HP (10.8  kW)) @ 9500 RPM,11.0 Nm (1.1 kgf-m or 8.1 ft.lbs) @ 8250 RPM,,,Double tube single cradle frame in high tensile strength steel,Light alloy wheels,148.0 kg (326.3 pounds),0.0997 HP/kg,French made modification of an Aprilia SportCity scooter.,4,Automatic centrifugal dry clutch. Automatic torque converter gearbox,,,100 mm (3.9 inches),80 mm (3.1 inches),220 mm (8.7 inches),1.50 litres (0.40 US gallons),,,,,,,Two person seat,,Euro 3,12 Volt,,,,150 liter storage compartment. Up to 80 kg.,,,,,,,,,,,,,,,
Geely JL125,2013,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,98.2 ccm (5.99 cubic inches),"Single cylinder, four-stroke",,,,,,"Pressing, splashing",,4-speed,Chain   (final drive),,,2.75-18 ,3.00-18 ,Single disc,Expanding brake (drum brake),,1100 mm (43.3 inches),1955 mm (77.0 inches),715 mm (28.1 inches),1215 mm (47.8 inches),,,,,10.7 HP (7.8  kW)) @ 8500 RPM,9.4 Nm (1.0 kgf-m or 6.9 ft.lbs) @ 7500 RPM,,,Steel,,,,,,Wet multiple,,,,,,,,,115.0 kg (253.5 pounds),135 mm (5.3 inches),,90.0 km/h (55.9 mph),,,,,,,,,,,,,,,,,,,,,,,
Vespa GTS 300 IE,2013,Scooter," 3.0  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",278.0 ccm (16.96 cubic inches),"Single cylinder, four-stroke",,75.0 x 63.0 mm (3.0 x 2.5 inches),Injection,,Electronic by capacitive discharge (CDI),"Wet sump, chain-driven lobe pump",Liquid,Automatic,Belt   (final drive),"Single arm, dual chamber hydraulic shock absorber with coaxial spring",Two dual effect shock absorbers with adjustable preload,120/70-12 ,130/70-12 ,Single disc,Single disc,"790 mm (31.1 inches) If adjustable, lowest setting.",,1928 mm (75.9 inches),754 mm (29.7 inches),1369 mm (53.9 inches),9.08 litres (2.40 US gallons),"Midnight Blue, Bronze",Electric,,22.0 HP (16.1  kW)) @ 7750 RPM,22.3 Nm (2.3 kgf-m or 16.4 ft.lbs) @ 5000 RPM,,,Load-bearing sheet steel chassis,,158.0 kg (348.3 pounds),0.1392 HP/kg,,,Automatic dry centrifugal clutch with vibration dampers,,,,,220 mm (8.7 inches),,,,,,One year warranty limited,128.8 km/h (80.0 mph),,,EPA and CARB,,,,,,,,,,,,,,,,,,,,
Suzuki Burgman 400 ABS,2013,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,398.0 ccm (24.29 cubic inches),"Single cylinder, four-stroke",12.5:1,81.0 x 77.6 mm (3.2 x 3.1 inches),Injection. Suzuki Fuel Injection,Double Overhead Cams/Twin Cam (DOHC),Electronic ignition (Transistorized),Wet sump,Liquid,Automatic,Belt   (final drive),"Telescopic, coil spring, oil damped","Link type, coil spring, oil damped",120/80-M14 ,150/70-M13 ,Double disc. Antilock Brake System (ABS) ,Single disc. Antilock Brake System (ABS) ,"710 mm (28.0 inches) If adjustable, lowest setting.",,2270 mm (89.4 inches),825 mm (32.5 inches),1585 mm (62.4 inches),3.50 litres (0.92 US gallons),Metallic Thunder Gray/Glass Sparkle Black,Electric,,,,V-belt Drive,,High-tensile steel-tube,,,,,,,,,,,,,,,222.0 kg (489.4 pounds),125 mm (4.9 inches),12 month unlimited mileage limited warranty.,,,,,,,,,"Storage bay large enough for two full-face helmets, and a smaller compartment for personal items",,,,,,,,,,,,,,,
Aprilia SR Motard 125,2013,Scooter," 3.5  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",11.5:1,57.0 x 48.6 mm (2.2 x 1.9 inches),Injection. EFI,Single Overhead Cams (SOHC),,Wet sump.,Air,Automatic,Belt   (final drive),Hydraulic telescopic fork with straight stanchions,Single arm with engine crankcase as swinging element,120/70-14 ,120/70-14 ,Single disc,Expanding brake (drum brake),"775 mm (30.5 inches) If adjustable, lowest setting.",,1953 mm (76.9 inches),720 mm (28.3 inches),,7.00 litres (1.85 US gallons),"Black, white, orange",Electric,Piaggio LEADER engine,9.1 HP (6.7  kW)) @ 8500 RPM,,,,Single cradle structure in tubular steel with pressed reinforcements,,122.0 kg (269.0 pounds),0.0748 HP/kg,,2,Automatic centrifugal dry clutch,,,86 mm (3.4 inches),82 mm (3.2 inches),140 mm (5.5 inches),1.50 litres (0.40 US gallons),,,,,,,,,Euro 3,Generator: 300 W ,,,,,,,,,,,,,,,,,,,
Cheetah LS 1 SST,2013,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,5700.0 ccm (347.81 cubic inches),"In-line four, four-stroke",,,Injection. EFI,,,,Liquid,4-speed,,"Stainless steel forks with adjustable, chrome coil-over shocks",Deluxe coil-over suspension,,,Single disc,Expanding brake (drum brake),,,,,,11.00 litres (2.91 US gallons),Silver metallic,Electric,Ecotec engine,175.0 HP (127.7  kW)),,,,Marine-grade aluminum,Two rear wheels,,,Custom trike. SST is short for ´Super-Sonic-Transport´.,,,,,,,,,,,,,,,"Single seat, optional two seats",,,,,,,,,,,,,,,,,,,,,,
Sherco ST 290,2013,Trial,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,272.0 ccm (16.60 cubic inches),"Single cylinder, two-stroke",,76.0 x 60.0 mm (3.0 x 2.4 inches),Carburettor. Keihin Ø 28,,Digital Hidria with two power curves,"Oil pre-mix, 2%",,5-speed,Chain   (final drive),Tech Ø 39 mm hydraulic telescopic fork,Progressive link system with single R16V adjustable shock absorber,,,Single disc. Hydraulically activated Formula floating disc,Single disc. Hydraulically activated Formula floating,"645 mm (25.4 inches) If adjustable, lowest setting.",,,,1322 mm (52.0 inches),,Blue/white/yellow/black,Kick,Nikasil coated cylinder,,,Sequential gearbox with security selector system to prevent false shifts. Chain primary drive.,Steel header pipe with an integrated aluminum muffler,Tubular section Chrome-moly,"Morad 21 inch front and 18 inch rear gold anodized aluminum rim and aluminum hub, steel spokes with Michelin tube-type tire.",68.0 kg (149.9 pounds),,,,Multiplate in oil bath,,,165 mm (6.5 inches),175 mm (6.9 inches),145 mm (5.7 inches),,,,,305 mm (12.0 inches),,,,,,,,,,,,,,,,,,,,,,,,,
Kymco Super 8 125,2013,Scooter," 3.3  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",,,Carburettor,,CDI,,Air,Automatic,Belt   (final drive),Telescopic hydraulic fork,"Dual shocks, adjustable",100/80-14 ,100/80-14 ,Single disc,Expanding brake (drum brake),"780 mm (30.7 inches) If adjustable, lowest setting.",,1940 mm (76.4 inches),745 mm (29.3 inches),,,"Red, white",Electric & kick,,9.4 HP (6.9  kW)) @ 7500 RPM,,C.V.T.,,Tubular Steel,,108.0 kg (238.1 pounds),0.0869 HP/kg,Made in Taiwan.,,,,,,,,,,,,,2-Year Warranty,,,,,,,,,Lockable Storage Box Under Seat. ,,,,,,,,,,,,,,,
