Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Compression,Bore x stroke,Cooling system,Gearbox,Transmission type,Frame type,Front suspension,Rear suspension,Front brakes,Diameter,Rear brakes,Wheels,"Weight incl. oil, gas, etc",Seat height,Overall height,Overall length,Overall width,Ground clearance,Wheelbase,Fuel capacity,Color options,Starter,Comments,Fuel system,Lubrication system,Front tire,Rear tire,Dry weight,Engine details,Valves per cylinder,Fuel control,Ignition,Clutch,Driveline,Fuel consumption,Greenhouse gases,Emission details,Exhaust system,Rake (fork angle),Trail,Front wheel travel,Rear wheel travel,Seat,Power/weight ratio,Alternate seat height,Instruments,Factory warranty,Electrical,Light,Carrying capacity,Reserve fuel capacity,Oil capacity,Top speed,0-100 km/h (0-62 mph),Max RPM,Engine oil,Oil filter,Brake fluid,Coolant,Battery,Spark plugs,Idle speed,Chain size,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size,1/4 mile (0.4 km),Modifications compared to previous model,Belt teeth,Belt width,Pulley teeth
BMW R 1200 RS Sport,2018,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1170.0 ccm (71.39 cubic inches),"Two cylinder boxer, four-stroke",125.0 HP (91.2  kW)) @ 7750 RPM,125.0 Nm (12.7 kgf-m or 92.2 ft.lbs) @ 6500 RPM,12.5:1,101.0 x 73.0 mm (4.0 x 2.9 inches),Liquid,6-speed,Shaft drive (cardan)   (final drive),"Two-section frame, front- and bolted on rear frame, load-bearing engine","Upside-down telescopic fork, diameter 45 mm, travel 140 mm, silver-anodized",BMW Motorrad EVO Paralever,Double disc. ABS. Four-piston calipers. ,276 mm (10.9 inches),Single disc. ABS. Floating disc. Two-piston calipers. ,Cast aluminium,236.0 kg (520.3 pounds),"820 mm (32.3 inches) If adjustable, lowest setting.",1273 mm (50.1 inches),2202 mm (86.7 inches),925 mm (36.4 inches),,1527 mm (60.1 inches),18.00 litres (4.76 US gallons),"Light Grey Metallic/Magellan Grey Metallic Matt, Frozen Bronze Metallic/Black Storm Metallic",Electric,Switchable ABS. Heated grips.,Injection. Digital engine management with electronic fuel injection,Wet sump,120/70-ZR17 ,180/55-ZR17 ,,,4,Double Overhead Cams/Twin Cam (DOHC),,"Wet eight-disc clutch with anti-hopping function, hyrdaulically operated",,4.60 litres/100 km (21.7 km/l or 51.13 mpg),106.7 CO2 g/km. (CO2 - Carbon dioxide emission) ,"Closed-­loop 3-­way catalytic converter, emission standard EU-­4",Chrome,27.7°,115 mm (4.5 inches),140 mm (5.5 inches),140 mm (5.5 inches),,,,,,,,,3.00 litres (0.79 US gallons),,,,,,,,,,,,,,,,,,,,,,
MH Revenge 125,2018,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",11.0 HP (8.0  kW)) @ 9500 RPM,9.0 Nm (0.9 kgf-m or 6.6 ft.lbs) @ 7500 RPM,,54.0 x 54.0 mm (2.1 x 2.1 inches),Air,5-speed,Chain   (final drive),Double-cradle steel frame,Telescopic fork,Dual shocks,Single disc. CBS. Hydraulic. Twin piston.,220 mm (8.7 inches),Single disc. Hydraulic. ,,,"778 mm (30.6 inches) If adjustable, lowest setting.",1082 mm (42.6 inches),1963 mm (77.3 inches),756 mm (29.8 inches),,1310 mm (51.6 inches),20.00 litres (5.28 US gallons),"Grey, silver",Electric,Brand previously called Motorhispania. Made in Spain.,Injection. Mikuni,,90/90-17 ,130/70-17 ,118.0 kg (260.1 pounds),,2,,C.D.I.,"Wet, multidisk",,2.20 litres/100 km (45.5 km/l or 106.92 mpg),51.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,Euro 4,,,,,,,0.0932 HP/kg,,,,,,,,,105.0 km/h (65.2 mph),,,,,,,,,,,,,,,,,,,,
Benelli 752 S,2018,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,750.0 ccm (45.77 cubic inches),"Twin, four-stroke",81.6 HP (59.6  kW)) @ 9000 RPM,67.0 Nm (6.8 kgf-m or 49.4 ft.lbs) @ 6500 RPM,,,Liquid,6-speed,Chain   (final drive),,50 mm USD Forks,Monoshock,Double disc. Four-piston calipers. ,260 mm (10.2 inches),Single disc. Single-piston caliper. ,,,,,,,,,15.00 litres (3.96 US gallons),Green,Electric,,Injection,,120/70-17 ,180/55-17 ,,,,,,,,,,,,,,117 mm (4.6 inches),45 mm (1.8 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lohia Omastar ,2018,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,,Electric,,,,,Air,Automatic,,Steel,Telescopic fork,Twin coil spring ,Expanding brake (drum brake),,Expanding brake (drum brake),,,,1030 mm (40.6 inches),1800 mm (70.9 inches),650 mm (25.6 inches),,,,Red,Electric,Range 60 km. Made in India.,,,3.00-16 ,3.00-16 ,66.0 kg (145.5 pounds),BLDC Motor,,,,,,,,,,,,,,,,"770 mm (30.3 inches) If adjustable, highest setting.",Digital,,"Maintenance Free, VRLA, 20 Ah, battery",,,,,25.0 km/h (15.5 mph),,,,,,,,,,,,,,,,,,,,
Brixton BX 125 X,2018,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",11.1 HP (8.1  kW)) @ 9000 RPM,,,,Air,,Chain   (final drive),,Telescopic fork,Dual shocks,Single disc,,Single disc,Wire spoked,,,1105 mm (43.5 inches),2020 mm (79.5 inches),910 mm (35.8 inches),,,,"Black, Olive green",Electric,,Injection,,,,134.0 kg (295.4 pounds),,,,ECU,,,2.70 litres/100 km (37.0 km/l or 87.12 mpg),62.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,,0.0831 HP/kg,,Digital,,,LED headlight,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha FJR1300ES,2018,Sport touring,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,1298.0 ccm (79.20 cubic inches),"In-line four, four-stroke",146.2 HP (106.7  kW)) @ 8000 RPM,138.0 Nm (14.1 kgf-m or 101.8 ft.lbs) @ 7000 RPM,10.8:1,79.0 x 66.2 mm (3.1 x 2.6 inches),Liquid,6-speed,Shaft drive (cardan)   (final drive),"Aluminium, Diamond shaped","Upside-down telescopic fork, Ø 48 mm tube, adjustable preload, compression and rebound damping",Linked monoshock with spring preload adjustment,Double disc. ABS. Hydraulic,282 mm (11.1 inches),Single disc. ABS. Hydraulic,,291.2 kg (642.0 pounds),"805 mm (31.7 inches) If adjustable, lowest setting.",1455 mm (57.3 inches),2230 mm (87.8 inches),750 mm (29.5 inches),125 mm (4.9 inches),1544 mm (60.8 inches),25.00 litres (6.61 US gallons),Matte Phantom Blue,Electric,Windshield,Injection,Wet sump,120/70-ZR17 ,180/55-ZR17 ,,Forward-inclined cylinders,4,Double Overhead Cams/Twin Cam (DOHC),Transistor Controlled Ignition,Multiplate assist-and-slipper wet clutch,Constant mesh,6.20 litres/100 km (16.1 km/l or 37.94 mpg),143.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,26.0°,109 mm (4.3 inches),135 mm (5.3 inches),125 mm (4.9 inches),,,"825 mm (32.5 inches) If adjustable, highest setting.",,,,Lean Angle-Sensitive LED Lighting,Saddle bags,,4.90 litres (5.18 US quarts),,,,,,,,,,,,,,,,,,,,,
Kawasaki Brute Force  750 4x4i EPS,2018,ATV," 4.0  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",749.0 ccm (45.70 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 6750 RPM,59.0 Nm (6.0 kgf-m or 43.5 ft.lbs) @ 5250 RPM,9.3:1,85.0 x 66.0 mm (3.3 x 2.6 inches),Liquid,Automatic,Shaft drive (cardan)   (final drive),"Double-cradle, high-tensile tubular steel",Double wishbone,"Full independent, dual A-arm/",Sealed multidisc. Hydraulic. Two-piston calipers. ,200 mm (7.9 inches),Sealed multidisc,,317.1 kg (699.0 pounds),"909 mm (35.8 inches) If adjustable, lowest setting.",1219 mm (48.0 inches),2195 mm (86.4 inches),1181 mm (46.5 inches),240 mm (9.4 inches),1285 mm (50.6 inches),19.00 litres (5.02 US gallons),"Metallic Stardust White, Vibrant Blue, Super Black
",Electric,,Injection. DFI® with two 36mm throttle bodies,,25/8-12 ,25/10-12 ,,,4,Single Overhead Cams (SOHC),Battery  and  Coil (Transistorised ignition),,"Selectable four-wheel drive with Variable Front Differential Control, shaft",,,,,,12 mm (0.5 inches),170 mm (6.7 inches),191 mm (7.5 inches),,,,"Speedometer, odometer, dual trip meters, fuel gauge, engine temp, clock, hour meter and 2WD/4WD icon, plus indicators for EPS, neutral, reverse, belt, and oil pressure.",12 Months limited,,"35W headlights, 5W taillight, 21W stoplight",Front and rear rack.,,,,,,,,,,,,,,,,,,,,,,,
Honda Ruckus,2018,Scooter," 3.5  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.0 ccm (2.99 cubic inches),"Single cylinder, four-stroke",,,11.9:1,37.8 x 44.0 mm (1.5 x 1.7 inches),Liquid,Automatic,Belt   (final drive),,Twin-downtube fork,Single shock,Expanding brake (drum brake),,Expanding brake (drum brake),,88.0 kg (194.0 pounds),"734 mm (28.9 inches) If adjustable, lowest setting.",,,,,1265 mm (49.8 inches),4.92 litres (1.30 US gallons),"White/Red, Black",Electric,Model ID: NPS50,Carburettor. 18mm CV with automatic choke,,120/90-10 ,130/90-10 ,,,,,CD,,Automatic V-Matic belt drive,1.63 litres/100 km (61.3 km/l or 144.31 mpg),37.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,56 mm (2.2 inches),66 mm (2.6 inches),,,,,One year,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX-S1000,2018,Sport," 3.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",999.0 ccm (60.96 cubic inches),"In-line four, four-stroke",,,12.2:1,74.5 x 57.3 mm (2.9 x 2.3 inches),Liquid,6-speed,Chain   (final drive),Aluminum,"Inverted telescopic, coil spring, oil damped","Link type, single shock, coil spring, oil damped",Double disc. Brembo 4-piston,310 mm (12.2 inches),Single disc,Black 6-spoke lightweight cast aluminum,,"810 mm (31.9 inches) If adjustable, lowest setting.",,2115 mm (83.3 inches),795 mm (31.3 inches),140 mm (5.5 inches),1460 mm (57.5 inches),17.00 litres (4.49 US gallons),Glass Sparkle Black/Candy Daring Red,Electric,Traction Control System.,Injection,Wet sump,120/70-ZR17 ,190/50-ZR17 ,207.0 kg (456.4 pounds),,4,Double Overhead Cams/Twin Cam (DOHC),Electronic ignition (Transistorized),"Wet, multi-plate type",,,,,4-2-1 exhaust system,25.0°,100 mm (3.9 inches),,,,,,,12 month unlimited mileage limited warranty.,,,,,,,,,,,,,,,,,,,,,,,,,,
Access Shade Xtreme 850,2018,ATV," 2.8  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",781.0 ccm (47.66 cubic inches),"Single cylinder, four-stroke",57.7 HP (42.1  kW)),,,,Liquid,Automatic,Chain   (final drive),,Independent,Independent,Single disc,,Single disc,Kenda Bear Claw tires,,,1252 mm (49.3 inches),2070 mm (81.5 inches),1200 mm (47.2 inches),,,21.00 litres (5.55 US gallons),"White, black",Electric,,,,25/8-12 ,25/10-12 ,329.0 kg (725.3 pounds),,,Overhead Cams (OHC),,,CVT ,,,,,,,,,,0.1753 HP/kg,,,,,,Front and rear rack,,,,,,,,,,,,,,,,,,,,,,,
Indian Chieftain Classic,2018,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,1811.0 ccm (110.51 cubic inches),"V2, four-stroke",,150.0 Nm (15.3 kgf-m or 110.6 ft.lbs) @ 2100 RPM,9.5:1,101.0 x 113.0 mm (4.0 x 4.4 inches),Air,6-speed,Belt   (final drive),Cast aluminium,Telescopic forks with air adjustment,Single shock,Double disc. ABS. Floating discs. 4 piston caliper.,300 mm (11.8 inches),Single disc. ABS. Floating disc. 2-piston caliper.,Cast aluminium wheels,385.0 kg (848.8 pounds),"660 mm (26.0 inches) If adjustable, lowest setting.",1388 mm (54.6 inches),2571 mm (101.2 inches),1000 mm (39.4 inches),142 mm (5.6 inches),1668 mm (65.7 inches),20.80 litres (5.50 US gallons),"Matte Silver, Red, Black",Electric,Small windscreen. 7´ Touchscreen. Tire Pressure Monitoring. 100 Watt Stereo with AM/FM Bluetooth and Smartphone Compatible Input.,Injection. Closed Loop Sequential Port Fuel Injection,,130/90-B16 ,180/60-R16 ,370.0 kg (815.7 pounds),Thunder Stroke® 111 engine,,,,,,,,,Split dual exhaust with cross-over,25.0°,150 mm (5.9 inches),119 mm (4.7 inches),114 mm (4.5 inches),Dual leather seat,,,"Fairing mounted instrument cluster featuring analog speedometer and tachometer, with fuel gauge, range, odometer and current gear. ",2 years,,LED headlights,Hard saddle bags.,,,,,,,,,,,,,,,,,,,,,,,
