Model,Year,Category,Rating,Displacement,Engine type,Compression,Bore x stroke,Valves per cylinder,Fuel system,Fuel control,Cooling system,Transmission type,Driveline,Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Front tire,Rear tire,Front brakes,Rear brakes,"Weight incl. oil, gas, etc",Seat height,Overall height,Overall length,Overall width,Ground clearance,Wheelbase,Fuel capacity,Color options,Starter,Factory warranty,Engine details,Power,Torque,Top speed,Max RPM,Gearbox,Clutch,Fuel consumption,Greenhouse gases,Emission details,Frame type,Rake (fork angle),Diameter,Wheels,Seat,Dry weight,Power/weight ratio,Instruments,Electrical,Comments,Lubrication system,Trail,Alternate seat height,Oil capacity,Light,Carrying capacity,Engine oil,Brake fluid,Coolant,Idle speed,Tire pressure front,Tire pressure rear,Fork tube size,Exhaust system,Ignition,Reserve fuel capacity,Service interval,Modifications compared to previous model,Sprockets,Spark plugs,Chain size,Chain links,0-100 km/h (0-62 mph),Battery,Oil filter,Pulley teeth,"60-140 km/h (37-87 mph), highest gear",Belt teeth,1/4 mile (0.4 km)
Yamaha Grizzly EPS SE,2022,ATV,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,686.0 ccm (41.86 cubic inches),"Single cylinder, four-stroke",10.1:1,102.0 x 84.0 mm (4.0 x 3.3 inches),4,"Injection. Yamaha Fuel Injection (YFI), 44mm",Single Overhead Cams (SOHC),Liquid,Shaft drive (cardan)   (final drive),"On-Command 3-way locking differential; 2WD, 4WD, locked 4WD; shaft",Independent double wishbone,193 mm (7.6 inches),Independent double wishbone,232 mm (9.1 inches),27/10-14 ,27/10-14 ,Double disc. Hydraulic. ,Double disc. Hydraulic. ,342.0 kg (754.0 pounds),"918 mm (36.1 inches) If adjustable, lowest setting.",1270 mm (50.0 inches),2070 mm (81.5 inches),1250 mm (49.2 inches),300 mm (11.8 inches),1250 mm (49.2 inches),18.00 litres (4.76 US gallons),Matte Silver,Electric,6 Month Limited Factory Warranty,Gear-driven crankshaft balancer shaft and rubber-damper engine mounts,,,,,Automatic,,,,,,,205 mm (8.1 inches),Aluminum wheels. Maxxis Zilla MU01 tyres,,,,"Digital LCD multifunction display: speedometer, odometer, dual tripmeter, hour meter, clock, fuel gauge, gear position, and EFI function",,,Wet sump,,,2.60 litres (2.75 US quarts),LED headlight,,,,,,,,,,TCI,,,,,,,,,,,,,,
Polaris Sportsman 110 ,2022,ATV,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,112.0 ccm (6.83 cubic inches),"Single cylinder, four-stroke",,,,Injection,,Air,Chain   (final drive),2WD. Automatic PVT F/N/R. O-ring Chain.,Single A-Arm,127 mm (5.0 inches),Mono-Shock Swingarm,152 mm (6.0 inches),19/7-8 ,18/10-8 ,Expanding brake (drum brake),Expanding brake (drum brake),,"686 mm (27.0 inches) If adjustable, lowest setting.",978 mm (38.5 inches),1568 mm (61.7 inches),933 mm (36.7 inches),102 mm (4.0 inches),1054 mm (41.5 inches),10.98 litres (2.90 US gallons),Velocity Blue,Electric,,,,,48.3 km/h (30.0 mph),,Automatic,,,,,,,,Stamped Steel. Duro tires.,,131.0 kg (288.8 pounds),,,,"Intended for children aged 10+. Safety Flag, Parent-Adjustable Speed Limiter, 1 Color Matched Youth Helmet, Training DVD, Safety Tether.",,,,,"Dual LED Front Running Lights, Single Rear Brakelight/Taillight",,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Z125 Performance,2022,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",11.7:1,58.0 x 47.2 mm (2.3 x 1.9 inches),4,Injection. 28mm ,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain   (final drive),Sealed chain,"Telescopic fork, 37mm",110 mm (4.3 inches),"Uni-Trak, gas-charged shock with adjustable preload",120 mm (4.7 inches),100/80-17 ,130/70-17 ,Single disc. Petal style disc. Dual piston. ABS.,Single disc. Petal style disc. Dual piston. ABS.,147.0 kg (324.1 pounds),"815 mm (32.1 inches) If adjustable, lowest setting.",1015 mm (40.0 inches),1935 mm (76.2 inches),740 mm (29.1 inches),185 mm (7.3 inches),1330 mm (52.4 inches),11.00 litres (2.91 US gallons),"Metallic Flat Spark Black, Pearl Flat Stardust White/Metallic Spark Black, Candy Lime Green/Metallic Spark Black
",Electric,,,14.8 HP (10.8  kW)) @ 10000 RPM,11.7 Nm (1.2 kgf-m or 8.6 ft.lbs) @ 7700 RPM,,,6-speed,Wet multi-disc,,,,"Tubular diamond, steel",,220 mm (8.7 inches),,,,,All-digital Instrumentation,,,"Forced lubrication, wet sump",90 mm (3.5 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Speed Twin,2022,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1200.0 ccm (73.22 cubic inches),"Twin, four-stroke",12.1:1,97.6 x 80.0 mm (3.8 x 3.1 inches),4,Injection. Multipoint sequential electronic fuel injection ,Single Overhead Cams (SOHC),Liquid,Chain   (final drive),O ring chain,43mm USD Marzocchi forks,120 mm (4.7 inches),Twin RSUs with adjustable preload,120 mm (4.7 inches),120/70-ZR17 ,160/60-ZR17 ,"Double disc. Brembo 4-piston fixed calipers, ABS",Single disc. Nissin 2-piston floating caliper ABS,216.0 kg (476.2 pounds),"809 mm (31.9 inches) If adjustable, lowest setting.",1097 mm (43.2 inches),,778 mm (30.6 inches),,1413 mm (55.6 inches),14.50 litres (3.83 US gallons),"Silver Ice/Storm Grey, Jet Black, Karosi Red/Storm Grey",Electric,24 months unlimited milage,270° crank angle parallel-twin,98.6 HP (72.0  kW)) @ 7250 RPM,112.0 Nm (11.4 kgf-m or 82.6 ft.lbs) @ 4250 RPM,,,6-speed,"Wet, multi-plate torque assist",5.63 litres/100 km (17.8 km/l or 41.78 mpg),130.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,Euro 5,"Tubular steel, with steel cradles. Twin sided aluminium swingarm.",22.3°,220 mm (8.7 inches),Cast aluminum alloy. Pirelli Diablo Rosso 3 tires.,,,,Twin dial analogue speedometer and tachometer with LCD multi-functional displays,,"Three riding modes, Road, Rain and Sport. Traction control. USB charging.",,92 mm (3.6 inches),,4.50 litres (4.76 US quarts),LED daytime running light,,,,,,,,,Brushed 2-into-2 exhaust system with twin brushed silencers,,,"10,000 miles/16,000 km/12 months",,,,,,,,,,,,
Kollter Esum S,2022,Super motard,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,,Electric,,,,,,Air,Chain   (final drive),,37mm inverted hydraulic shock absorber adjustable rebound damping,,Medium hydraulic shock absorber,,110/70-17 ,120/70-17 ,Single disc. 2-piston calipers,Single disc. Single piston,,"665 mm (26.2 inches) If adjustable, lowest setting.",,2080 mm (81.9 inches),860 mm (33.9 inches),252 mm (9.9 inches),1470 mm (57.9 inches),,White,Electric,,"Permanent Magnet motor, max power 5 kW",4.0 HP (2.9  kW)),30.0 Nm (3.1 kgf-m or 22.1 ft.lbs),75.0 km/h (46.6 mph),,,,,,,Plate tube welding,,220 mm (8.7 inches),,,109.0 kg (240.3 pounds),0.0369 HP/kg,,,Charging time 6 hours. 72V 26Ah lithium battery. Range 50 km. Optional second battery pack extends range to 100 km.  Chinese brand.,,,,,LED headlight,,,,,,,,,,,,,,,,,,,,,,,,
Beta Minitrial Electric 20,2022,"Minibike, cross",Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,,Electric,,,,,,Air,Chain   (final drive),,Inverted fork 25mm,45 mm (1.8 inches),Adjustable by air and spring preload,45 mm (1.8 inches),2.00-20 ,2.50-19 ,Single disc. Hydraulic,Single disc,,"550 mm (21.7 inches) If adjustable, lowest setting.",920 mm (36.2 inches),1440 mm (56.7 inches),650 mm (25.6 inches),280 mm (11.0 inches),965 mm (38.0 inches),,Red/white/black,Electric,,,1.0 HP (0.7  kW)),,,,1-speed,,,,No direct emissions,Aluminium alloy tube,,160 mm (6.3 inches),,,25.5 kg (56.2 pounds),0.0396 HP/kg,,,"3 lead acid batteries 12V (serial), 9Ah.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha YZF-R1M,2022,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,998.0 ccm (60.90 cubic inches),"In-line four, four-stroke",13.0:1,79.0 x 50.9 mm (3.1 x 2.0 inches),4,Injection. Fuel Injection with YCC-T and YCC-I,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain   (final drive),,"43mm Öhlins® Electronic Racing Suspension NPX fork, fully adjustable",119 mm (4.7 inches),"Öhlins® Electronic Racing Suspension single shock, fully adjustable",119 mm (4.7 inches),120/70-ZR17 ,200/55-ZR17 ,Double disc. ABS. Hydraulic. Four-piston calipers. ,Single disc. ABS. Hydraulic. ,204.1 kg (450.0 pounds),"861 mm (33.9 inches) If adjustable, lowest setting.",1166 mm (45.9 inches),2055 mm (80.9 inches),691 mm (27.2 inches),130 mm (5.1 inches),1405 mm (55.3 inches),17.03 litres (4.50 US gallons),Carbon Fiber/Liquid Metal/Blue,Electric,1 Year Limited Factory Warranty,Crossplane crankshaft technology. Titanium intake valves.,200.0 HP (146.0  kW)) @ 13500 RPM,112.0 Nm (11.4 kgf-m or 82.6 ft.lbs) @ 11500 RPM,,,6-speed,Multiplate assist and slipper clutch,7.13 litres/100 km (14.0 km/l or 32.99 mpg),165.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,,Aluminum Deltabox,24.0°,220 mm (8.7 inches),Blue rims. Bridgestone Battlax tires.,,180.0 kg (396.8 pounds),1.1111 HP/kg,,,,,102 mm (4.0 inches),,,LED Headlights,,,,,,,,,Titanium Exhaust,TCI: Transistor Controlled Ignition,,,Small windscreen.,,,,,,,,,,,
Beta Alp 200,2022,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,199.0 ccm (12.14 cubic inches),"Single cylinder, four-stroke",9.4:1,66.0 x 58.2 mm (2.6 x 2.3 inches),,Carburettor. Mikuni BST 31 42AD,Single Overhead Cams (SOHC),Air,Chain   (final drive),,Hydraulic Telescopic 37mm,170 mm (6.7 inches),"Monocross single shock, adjustable preload",185 mm (7.3 inches),2.75-21 ,4-18 ,Single disc,Single disc,,"830 mm (32.7 inches) If adjustable, lowest setting.",1107 mm (43.6 inches),2110 mm (83.1 inches),800 mm (31.5 inches),300 mm (11.8 inches),1355 mm (53.3 inches),6.00 litres (1.59 US gallons),"Red/Black, White/Red/White",Electric & kick,,,,,,,5-speed,Wet multi-disc,,,Euro 4,Seel Double Cradle,,220 mm (8.7 inches),,,108.0 kg (238.1 pounds),,,,,Forced oil lubrication with oil pumps,,,,,,,,,,,,,,Electronic ignition,,,,,,,,,,,,,,
Kawasaki KLX 230 SE,2022,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,233.0 ccm (14.22 cubic inches),"Single cylinder, four-stroke",9.4:1,67.0 x 66.0 mm (2.6 x 2.6 inches),4,Injection. DFI® with 32mm Keihin throttle body,Single Overhead Cams (SOHC),Air,Chain   (final drive),Sealed chain,37mm telescopic fork,221 mm (8.7 inches),Uni-Trak® linkage system and single shock with adjustable spring preload,224 mm (8.8 inches),80/100-21 ,100/100-18 ,Single disc. Dual-piston. Petal disc. Optional ABS.,Single disc. Single-piston. Petal disc. Optional ABS.,132.0 kg (291.1 pounds),"884 mm (34.8 inches) If adjustable, lowest setting.",1158 mm (45.6 inches),2106 mm (82.9 inches),836 mm (32.9 inches),211 mm (8.3 inches),1379 mm (54.3 inches),7.57 litres (2.00 US gallons),"Firecracker Red, Oriental Blue",Electric,12 months,,,,,,6-speed,"Wet multi-disc, manual",,,,"High-tensile steel, box-section perimeter",27.5°,220 mm (8.7 inches),Wire spoked. Black anodized rims.,,,,,,Special edition. Hand guards. Tapered handlebar. Skid plate. Frame covers.,"Forced lubrication, wet sump",117 mm (4.6 inches),,,,,,,,,,,,,TCBI Electronic Advance,,,,,,,,,,,,,,
Aprilia Scarabeo 50 Street 2T,2022,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,49.4 ccm (3.01 cubic inches),"Single cylinder, two-stroke",10.5:1,40.0 x 39.3 mm (1.6 x 1.5 inches),,Carburettor,,Air,Belt   (final drive),CVT,Telescopic hydraulic fork,78 mm (3.1 inches),Single hydraulic shock absorber,74 mm (2.9 inches),90/80-16 ,100/80-16 ,Single disc. Floating disc,Expanding brake (drum brake),,"775 mm (30.5 inches) If adjustable, lowest setting.",,1875 mm (73.8 inches),705 mm (27.8 inches),,1245 mm (49.0 inches),7.50 litres (1.98 US gallons),"Black, white, blue, red",Electric & kick,,,3.0 HP (2.2  kW)) @ 7000 RPM,3.1 Nm (0.3 kgf-m or 2.3 ft.lbs) @ 6250 RPM,,,Automatic,Automatic dry centifuge with damper buffers,3.80 litres/100 km (26.3 km/l or 61.90 mpg),88.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,Euro 4,High-strength steel single cradle,,140 mm (5.5 inches),Five spoke wheels,,,,,,Italian scooter.,Separate fuel-oil mixing with mixer pump,,,,,,,,,,,,,,CDI with variable advance,1.00 litres (0.26 US gallons),,,,,,,,,,,,,
