Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Bore x stroke,Fuel system,Fuel control,Ignition,Lubrication system,Cooling system,Transmission type,Frame type,Rake (fork angle),Front suspension,Rear suspension,Front tire,Rear tire,Front brakes,Rear brakes,Seat height,Wheelbase,Compression,Gearbox,Clutch,Fuel consumption,Greenhouse gases,Exhaust system,Trail,Front wheel travel,Rear wheel travel,Dry weight,Power/weight ratio,Overall height,Overall length,Overall width,Ground clearance,Fuel capacity,Color options,Starter,Comments,Diameter,Reserve fuel capacity,Valves per cylinder,Alternate seat height,"Weight incl. oil, gas, etc",Top speed,Engine details,Driveline,Engine oil,Oil filter,Battery,Spark plugs,Chain size,Chain links,Sprockets,Max RPM,Front percentage of weight,Rear percentage of weight,Modifications compared to previous model,Oil capacity,Brake fluid,Coolant,Idle speed,Tire pressure front,Tire pressure rear,Fork tube size,Wheels,Electrical,Belt width,Pulley teeth,1/4 mile (0.4 km),Belt teeth
DB Motors Pirat LC,2006,"Minibike, cross",Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,49.8 ccm (3.04 cubic inches),"Single cylinder, two-stroke",12.0 HP (8.8  kW)) @ 14500 RPM,,39.0 x 41.7 mm (1.5 x 1.6 inches),Carburettor.  Dell’Orto PHBG 19,,Electronic,EURO unleaded,Liquid,,Single steel beam frame,,Magnum 32mm hydraulic telescopic   fork,Special racing,,,Single disc,Single disc,,957 mm (37.7 inches),15.5:1,6-speed,Automatic centrifugal,,,Racing-type with aluminium   muffler,,,,44.5 kg (98.1 pounds),0.2697 HP/kg,,1485 mm (58.5 inches),,,3.50 litres (0.92 US gallons),,Kick,,180 mm (7.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda Metropolitan,2006,Scooter," 3.6  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.0 ccm (2.99 cubic inches),"Single cylinder, four-stroke",,,,Carburettor. 18.0 mm CV with automatic choke,,CDI,,Liquid,Belt   (final drive),,25.0°,Twin-downtube fork,Single shock,90/90-10 ,90/90-10 ,Expanding brake (drum brake),Expanding brake (drum brake),"719 mm (28.3 inches) If adjustable, lowest setting.",1191 mm (46.9 inches),,Automatic,,,,,,48 mm (1.9 inches),66 mm (2.6 inches),73.9 kg (163.0 pounds),,,,,,4.92 litres (1.30 US gallons),"Denim, Salsa, Blue Ice, Peach Hibiscus, Red Kanji",,Model ID: CHF50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki SV 1000 S,2006,Naked bike," 3.4  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",996.0 ccm (60.78 cubic inches),"V2, four-stroke",,,98.0 x 66.0 mm (3.9 x 2.6 inches),Injection.  Fuel Injection,Double Overhead Cams/Twin Cam (DOHC),Digital/Transistorized,Wet Sump,Liquid,Chain   (final drive),,,"Telescopic, cartridge-type, adjustable preload, adjustable compression  and  rebound damping","Link-type, adjustable preload, adjustable compression  and  rebound damping",120/70-ZR17 ,180/55-ZR17 ,Double disc,Single disc,"800 mm (31.5 inches) If adjustable, lowest setting.",1430 mm (56.3 inches),11.6:1,6-speed,Wet multiple plate coil springs,,,,,,,186.0 kg (410.1 pounds),,1170 mm (46.1 inches),2085 mm (82.1 inches),745 mm (29.3 inches),150 mm (5.9 inches),17.00 litres (4.49 US gallons),"Blue, Gray",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki Bandit 1200 SA,2006,Naked bike," 3.6  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1157.0 ccm (70.60 cubic inches),"In-line four, four-stroke",,,79.0 x 59.0 mm (3.1 x 2.3 inches),,,,,Oil & air,Chain   (final drive),,,,,,,Double disc,Single disc,"785 mm (30.9 inches) If adjustable, lowest setting.",1480 mm (58.3 inches),,,,,,,,,,215.0 kg (474.0 pounds),,,,,,20.00 litres (5.28 US gallons),,Electric,,,,,"805 mm (31.7 inches) If adjustable, highest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rieju RS 2 Matrix,2006,Sport," 3.4  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",50.0 ccm (3.05 cubic inches),"Single cylinder, two-stroke",,,40.3 x 39.0 mm (1.6 x 1.5 inches),Carburettor. Dell´Orto,,,,Liquid,,Perimetral of double beam in steel of high resistance,,Upside Hydraulic Fork Ø 36 mm. PAIOLI,Mono shock absorber,100/80-17 ,130/70-17 ,Single disc. Double piston,Single disc,,1332 mm (52.4 inches),,6-speed,,,,,,,,107.0 kg (235.9 pounds),,,2020 mm (79.5 inches),,,7.40 litres (1.96 US gallons),,Electric,,220 mm (8.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beta Rev 3 250,2006,Trial," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",249.5 ccm (15.22 cubic inches),"Single cylinder, two-stroke",,,72.0 x 60.5 mm (2.8 x 2.4 inches),Carburettor. Mikuni VM26/208,,,,Liquid,Chain   (final drive),Aluminium,,Hydraulic fork,Monoshock,,,Single disc,Single disc,,1310 mm (51.6 inches),11.4:1,6-speed,,,,,,185 mm (7.3 inches),165 mm (6.5 inches),72.0 kg (158.7 pounds),,1120 mm (44.1 inches),1990 mm (78.3 inches),850 mm (33.5 inches),310 mm (12.2 inches),3.20 litres (0.85 US gallons),,,,175 mm (6.9 inches),1.00 litres (0.26 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FXSTSI Softail Springer,2006,Custom / cruiser," 3.5  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1442.2 ccm (88.00 cubic inches),"V2, four-stroke",,115.3 Nm (11.8 kgf-m or 85.0 ft.lbs) @ 3000 RPM,95.3 x 101.6 mm (3.8 x 4.0 inches),Injection. Electronic Sequential Port Fuel Injection (ESPFI),,,,Air,Belt   (final drive),,32.0°,,,MH90-21 ,200/55-R17 ,Single disc,Single disc,,1661 mm (65.4 inches),8.9:1,5-speed,Multi-plate with diaphragm spring in oil bath,5.00 litres/100 km (20.0 km/l or 47.04 mpg),116.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,"Chrome, staggered shorty duals",135 mm (5.3 inches),,,304.4 kg (671.0 pounds),,,2375 mm (93.5 inches),,155 mm (6.1 inches),18.92 litres (5.00 US gallons),"Vivid black, black cherry, chopper blue, rich sunglo blue, brandy wine sunglo, two-tone chopper blue and brilliant silver, two-tone black cherry and black pearl
",,,,,,,314.8 kg (694.0 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,
Diamo Velux 150,2006,Scooter," 2.6  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",150.0 ccm (9.15 cubic inches),"Single cylinder, four-stroke",10.0 HP (7.3  kW)) @ 8000 RPM,,,Carburettor. keihin,,Brakes:,,Air,Shaft drive (cardan)   (final drive),,,Kymco Front Dual Shock,Rear Dual Shock,130/60-13 ,130/60-13 ,Double disc. ABS,Double disc. ABS,"737 mm (29.0 inches) If adjustable, lowest setting.",1448 mm (57.0 inches),,,,3.13 litres/100 km (31.9 km/l or 75.15 mpg),72.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,167.4 kg (369.0 pounds),0.0597 HP/kg,1727 mm (68.0 inches),2032 mm (80.0 inches),660 mm (26.0 inches),,7.57 litres (2.00 US gallons),,Electric & kick,,,,,,,96.6 km/h (60.0 mph),,,,,,,,,,,,,,,,,,,,,,,,,,
Honda Reflex,2006,Scooter," 3.1  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",,,72.7 x 60.0 mm (2.9 x 2.4 inches),Carburettor.  30.0mm CV with auto-enricher,Single Overhead Cams (SOHC),Fully transistorized,,Liquid,Belt   (final drive),,25.0°,33.0mm hydraulic fork,Single-side swingarm with dual hydraulic shocks with seven-position spring-preload adjustability,110/90-13 ,130/70-12 ,Single disc,Single disc,"719 mm (28.3 inches) If adjustable, lowest setting.",1544 mm (60.8 inches),10.5:1,Automatic,,,,,,99 mm (3.9 inches),119 mm (4.7 inches),170.1 kg (375.0 pounds),,,,,,12.11 litres (3.20 US gallons),Candy Blue,,Model ID: NSS250,220 mm (8.7 inches),,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 999s Superbike,2006,Sport," 3.8  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",998.0 ccm (60.90 cubic inches),"V2, four-stroke",141.1 HP (103.0  kW)) @ 9750 RPM,108.9 Nm (11.1 kgf-m or 80.3 ft.lbs) @ 8000 RPM,100.0 x 63.5 mm (3.9 x 2.5 inches),"Injection. Marelli electronic fuel injection, 54 mm throttle body ",,,,Liquid,Chain   (final drive),,23.5°,"Öhlins 43 mm upside-down fully adjustable fork with TiN surface treatment, for radial calipers ",Progressive linkage with fully adjustable Öhlins monoshock ,120/70-ZR17 ,190/50-ZR17 ,Double disc,Single disc,"780 mm (30.7 inches) If adjustable, lowest setting.",1420 mm (55.9 inches),,6-speed,Dry multiplate,,,Single steel muffler with catalytic converter ,,,,186.0 kg (410.1 pounds),0.7584 HP/kg,,,,,15.50 litres (4.10 US gallons),,Electric,,240 mm (9.4 inches),,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ridley Auto-Glide Chopper,2006,Custom / cruiser," 3.8  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",738.0 ccm (45.03 cubic inches),"V2, four-stroke",,,,,,,,Air,Belt   (final drive),,,,,,,Single disc. 4 piston,Single disc. 4-piston,"610 mm (24.0 inches) If adjustable, lowest setting.",1956 mm (77.0 inches),8.5:1,Automatic,,,,Straight/Baffled,114 mm (4.5 inches),102 mm (4.0 inches),,201.8 kg (445.0 pounds),,,,940 mm (37.0 inches),140 mm (5.5 inches),15.14 litres (4.00 US gallons),,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XVS 250 Drag Star,2006,Custom / cruiser," 3.8  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",248.0 ccm (15.13 cubic inches),"V2, four-stroke",22.8 HP (16.6  kW)) @ 8000 RPM,22.0 Nm (2.2 kgf-m or 16.2 ft.lbs) @ 6000 RPM,,Carburettor,Single Overhead Cams (SOHC),,,Liquid,Belt   (final drive),,,Hydraulic telescopic fork,Swingarm with twin shocks,,,Double disc,Single disc,,,,,,,,,,,,147.0 kg (324.1 pounds),0.1550 HP/kg,,,,,,,Electric,Available in the Asian market.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki ER-6f,2006,Sport," 3.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",649.0 ccm (39.60 cubic inches),"Twin, four-stroke",71.1 HP (51.9  kW)),66.0 Nm (6.7 kgf-m or 48.7 ft.lbs) @ 6700 RPM,83.0 x 60.0 mm (3.3 x 2.4 inches),Injection.  2 x Keihin fuel injection. Ø 38 mm,Double Overhead Cams/Twin Cam (DOHC),Digital,,Liquid,Chain   (final drive),"Diamond, high-tensile steel",24.5°,41 mm telescopic fork,Offset laydown single-shock with adjustable preload,,,Double disc,Single disc,"785 mm (30.9 inches) If adjustable, lowest setting.",1405 mm (55.3 inches),11.3:1,6-speed,,,,,,,,174.0 kg (383.6 pounds),0.4084 HP/kg,1095 mm (43.1 inches),2100 mm (82.7 inches),760 mm (29.9 inches),,15.50 litres (4.10 US gallons),,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAS GAS TXT PRO 280,2006,Trial," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",272.2 ccm (16.61 cubic inches),"Single cylinder, two-stroke",,,76.0 x 60.0 mm (3.0 x 2.4 inches),Carburettor. Dell´Orto PHBHL 26 BS.,,"CDI Kokusan*, digital magnetic flywheel.",Engine oil continuous with bypass.,Liquid,Chain   (final drive),Eliptic profile in CR-MO.,,Marzocchi* adjustable telehidraulic fork. with 40 mm aluminium bars.,"Variable progressivity system with mono-shock multiadjustable, Sachs",2.75-21 ,4.00-18 ,Single disc. 4-piston caliper,Single disc. 2-piston caliper,"665 mm (26.2 inches) If adjustable, lowest setting.",1330 mm (52.4 inches),,6-speed,,,,,,177 mm (7.0 inches),164 mm (6.5 inches),67.1 kg (148.0 pounds),,820 mm (32.3 inches),2015 mm (79.3 inches),1180 mm (46.5 inches),315 mm (12.4 inches),3.10 litres (0.82 US gallons),,Kick,,150 mm (5.9 inches),,,,,,Direct reed valve crankcase induction,,,,,,,,,,,,,,,,,,,,,,,,,
Derbi GP1 50,2006,Scooter," 3.8  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.4 ccm (3.01 cubic inches),"Single cylinder, two-stroke",,,40.0 x 39.3 mm (1.6 x 1.5 inches),Carburettor. Del´Ortho 17.5 mm,,,,Liquid,,,,Upside down hydraulic fork,Monoshock,120/70-14 ,130/60-13 ,Single disc,Expanding brake (drum brake),,,,,Automatic,,,,,80 mm (3.1 inches),70 mm (2.8 inches),110.0 kg (242.5 pounds),,,1850 mm (72.8 inches),650 mm (25.6 inches),,,,Electric,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TGB 303R 50,2006,Scooter," 3.6  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.3 ccm (3.01 cubic inches),"Single cylinder, two-stroke",4.9 HP (3.6  kW)) @ 7500 RPM,,41.0 x 37.4 mm (1.6 x 1.5 inches),Carburettor,,C.D.I.,,Oil & air,Belt   (final drive),,,,,120/70-12 ,120/70-12 ,Single disc,Expanding brake (drum brake),,,7.8:1,,,,,,,,,92.0 kg (202.8 pounds),0.0533 HP/kg,,1830 mm (72.0 inches),660 mm (26.0 inches),,6.80 litres (1.80 US gallons),,Electric & kick,TGB is an abbreviation of Taiwan Golden Bee.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAS GAS EC 125,2006,Enduro / offroad," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, two-stroke",,,54.0 x 54.5 mm (2.1 x 2.1 inches),Carburettor.  Keihin PWK,,Digital magnetic flywheel Kokusan*,,,Chain   (final drive),Deltabox made with rectangular-profile Cr-Mo tubing.,,"45 mm upside-down Marzocchi fork, 295 mm travel. upside-down Öhlins fork, travel 295 mm.","Aluminium swingarm. Progressive system with Öhlins* shock absorber, 310 mm. travel.",,,Double disc,Single disc,"940 mm (37.0 inches) If adjustable, lowest setting.",1476 mm (58.1 inches),,6-speed,Hydraulic multidisc,,,,,,,96.0 kg (211.6 pounds),,,,,,9.50 litres (2.51 US gallons),,,,220 mm (8.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Linhai Monarch 150,2006,Scooter," 2.4  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",151.0 ccm (9.21 cubic inches),"Single cylinder, four-stroke",,,57.7 x 57.8 mm (2.3 x 2.3 inches),Carburettor,Overhead Cams (OHC),,,,,Steel,,,.,110/90-12 ,130/90-12 ,Single disc,Single disc,,,,,,,,,,,,135.0 kg (297.6 pounds),,,2110 mm (83.1 inches),765 mm (30.1 inches),,11.00 litres (2.91 US gallons),,,,,,,,147.0 kg (324.1 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 250 EXC Racing,2006,Enduro / offroad," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",249.6 ccm (15.23 cubic inches),"Single cylinder, four-stroke",,,75.0 x 56.6 mm (3.0 x 2.2 inches),Carburettor.  Keihin MX FCR 37,Overhead Cams (OHC),Kokusan digital 4K-3B,Pressure lubrication with 2 Eaton pumps,Liquid,,Central double-cradle-type 25 CrMo4,26.5°,WP-USD   48 mm (1.89 inches),WP-PDS-shock absorber,90/90-21 ,120/90-18 ,Single disc,Single disc,"925 mm (36.4 inches) If adjustable, lowest setting.",1481 mm (58.3 inches),12.0:1,6-speed,"Wet multi-disc clutch, operated hydraulically",,,Aluminum,112 mm (4.4 inches),300 mm (11.8 inches),335 mm (13.2 inches),113.5 kg (250.2 pounds),,,,,380 mm (15.0 inches),8.00 litres (2.11 US gallons),,Electric & kick,Not available in the USA.,220 mm (8.7 inches),,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kymco Pulsar CK,2006,Sport," 3.2  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",124.1 ccm (7.57 cubic inches),"Single cylinder, four-stroke",10.7 HP (7.8  kW)) @ 8500 RPM,9.5 Nm (1.0 kgf-m or 7.0 ft.lbs) @ 7500 RPM,,,,,,Air,,,,,,90/90-P21 ,130/90-15 ,Single disc,Expanding brake (drum brake),,,,5-speed,,,,,,,,131.0 kg (288.8 pounds),0.0818 HP/kg,1064 mm (41.9 inches),1958 mm (77.1 inches),742 mm (29.2 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyosung Super Cab 50,2006,Scooter," 3.1  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",3.5 HP (2.5  kW)) @ 7000 RPM,,41.0 x 37.7 mm (1.6 x 1.5 inches),,Overhead Cams (OHC),,,Air,,Steel,,,,,,Single disc,Expanding brake (drum brake),"749 mm (29.5 inches) If adjustable, lowest setting.",,7.2:1,Automatic,,,,,,,,84.0 kg (185.2 pounds),0.0414 HP/kg,,,,,4.80 litres (1.27 US gallons),"Titan grey, red",Electric & kick,,100 mm (3.9 inches),,,,,45.0 km/h (28.0 mph),,,,,,,,,,,,,,,,,,,,,,,,,,
